factor,ic_mean,icir,ic_pos
amt_log_20,-0.059067526210932614,-0.34941269836292327,0.3046875
corr_pv_20,-0.04787957124444005,-0.36478516649400405,0.390625
amihud_20,0.04345570154874769,0.3000994706300817,0.6640625
mktcap,-0.04231567292100171,-0.23661580454815756,0.3828125
size,0.041893019098178004,0.2332172781818052,0.6171875
mom_1m,-0.03572461185600512,-0.19217285073734333,0.484375
mom_12m_s1,0.03505221007844297,0.17010782362862922,0.6153846153846154
max_20,-0.03451409526636706,-0.1759170241270149,0.4453125
vol_cv_20,-0.033229758314792066,-0.3243679100741926,0.359375
turn_20,-0.03320081235147494,-0.13925906724542758,0.4609375
vol_20,-0.03267713104786222,-0.13317874532054844,0.4296875
turnover_proxy,-0.03152207977898095,-0.14236312382181382,0.4453125
amt_ratio,-0.03142209128924762,-0.1776281721607313,0.44715447154471544
bias_60,-0.031372199091684254,-0.153244520404609,0.496
bias_20,-0.031238569682354157,-0.1672779423976434,0.4609375
vol_60,-0.0311878324327764,-0.11935533440907437,0.448
ep_ttm,0.02742780505096994,0.1087988738508924,0.5625
mom_3m,-0.025421476921421646,-0.1267805104380295,0.512
rev_5d,-0.02427852881166999,-0.14443554939152659,0.484375
bp,0.021357615445470254,0.08472931910354972,0.515625
pb,-0.020960666764136934,-0.08324697556367504,0.484375
pe_ttm,-0.020411592075686456,-0.09711889669989249,0.4296875
skew_60,-0.01952198173519701,-0.18400384475905637,0.4
mom_6m_s1,0.015497256023339253,0.08192072762241516,0.5772357723577236
low_52w,-0.011626324633655184,-0.05324470818746843,0.4959349593495935
high_52w,0.00882752803264785,0.042757468005506616,0.5365853658536586
turn_chg,-0.008141794436174125,-0.06942294754697961,0.496
downside_vol,,,
