market,fee_per_side,signal_date,date,code,side,reason,requested_notional,capacity_notional,account_evidence_status,remaining_units,funded_notional
a,0.0015,2020-01-23,2020-02-03,600595.SH,buy,daily_amount_capacity,33283.40822100183,7502.0,complete_account,,
a,0.0015,2020-02-28,2020-03-02,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-02,603290.SH,buy,limit_up,,,complete_account,341.17104233046695,
a,0.0015,2020-02-28,2020-03-02,603893.SH,buy,limit_up,,,complete_account,597.6614094116713,
a,0.0015,2020-02-28,2020-03-03,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-03,603290.SH,buy,limit_up,,,complete_account,341.17104233046695,
a,0.0015,2020-02-28,2020-03-03,603893.SH,buy,limit_up,,,complete_account,597.6614094116713,
a,0.0015,2020-02-28,2020-03-04,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-04,603290.SH,buy,limit_up,,,complete_account,341.17104233046695,
a,0.0015,2020-02-28,2020-03-05,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-05,603290.SH,buy,limit_up,,,complete_account,341.17104233046695,
a,0.0015,2020-02-28,2020-03-06,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-09,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-10,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-11,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-12,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-13,601696.SH,buy,limit_up,,,complete_account,3652.0587553182204,
a,0.0015,2020-02-28,2020-03-16,601696.SH,buy,insufficient_unreserved_cash,81367.86906848995,,complete_account,,16295.27638334942
a,0.0015,2020-02-28,2020-03-17,601696.SH,buy,insufficient_unreserved_cash,68256.12616928789,,complete_account,,0.0
a,0.0015,2020-02-28,2020-03-18,601696.SH,buy,insufficient_unreserved_cash,66445.3089581215,,complete_account,,0.0
a,0.0015,2020-02-28,2020-03-19,601696.SH,buy,insufficient_unreserved_cash,71118.38563209929,,complete_account,,0.0
a,0.0015,2020-02-28,2020-03-20,601696.SH,buy,insufficient_unreserved_cash,68869.46748274747,,complete_account,,0.0
