market,fee_per_side,signal_date,entry_date,exit_date,net_return,benchmark_return,account_evidence_status
a,0.0015,2020-01-23,2020-02-03,2020-03-02,0.15209626653227537,0.1033816187789589,complete_account
a,0.0015,2020-02-28,2020-03-02,2020-04-01,-0.13903083911041292,-0.09695891029097181,complete_account
a,0.0015,2020-03-31,2020-04-01,2020-05-06,0.23304342534055755,0.07106740492264141,complete_account
a,0.0015,2020-04-30,2020-05-06,2020-06-01,0.043925945718729764,0.008913627243405164,complete_account
a,0.0015,2020-05-29,2020-06-01,2020-07-01,0.12088938676643046,0.06960957411807711,complete_account
a,0.0015,2020-06-30,2020-07-01,2020-08-03,0.17261510921104173,0.12324717114231465,complete_account
a,0.0015,2020-07-31,2020-08-03,2020-09-01,0.009889874072326998,0.014841099850380735,complete_account
a,0.0015,2020-08-31,2020-09-01,2020-10-09,0.002165424424051432,-0.033245979763873335,complete_account
a,0.0015,2020-09-30,2020-10-09,2020-11-02,0.03208287867320281,0.008478723094274443,complete_account
a,0.0015,2020-10-30,2020-11-02,2020-12-01,0.0234400134221302,0.0733487341519703,complete_account
a,0.0015,2020-11-30,2020-12-01,2021-01-04,0.04346363777708406,0.03959264022961628,complete_account
a,0.0015,2020-12-31,2021-01-04,2021-02-01,0.006257932603150662,0.02846209632971819,complete_account
a,0.0015,2021-01-29,2021-02-01,2021-03-01,-0.019722327184416355,0.00020955586560389428,complete_account
a,0.0015,2021-02-26,2021-03-01,2021-04-01,-0.03768538263822596,-0.0568405969036927,complete_account
a,0.0015,2021-03-31,2021-04-01,2021-05-06,0.012599855586111763,-0.00971523546087949,complete_account
a,0.0015,2021-04-30,2021-05-06,2021-06-01,0.0843040825780157,0.055433413175933755,complete_account
a,0.0015,2021-05-31,2021-06-01,2021-07-01,0.06446888053051714,-0.020970107568034968,complete_account
a,0.0015,2021-06-30,2021-07-01,2021-08-02,0.0495420079685307,-0.05658646304670967,complete_account
a,0.0015,2021-07-30,2021-08-02,2021-09-01,0.050869299400855494,-0.01302811905622836,complete_account
a,0.0015,2021-08-31,2021-09-01,2021-10-08,0.021283082433822154,0.012420723477950313,complete_account
