market,fee_per_side,date,code,market_value,last_quote_date,missing_quote_trading_days,last_positive_volume_quote_date,nontrading_quote_days,account_evidence_status
a,0.0015,2020-10-29,300442.SZ,50336.50505328595,2020-10-28,1,2020-10-28,1,complete_account
a,0.0015,2020-10-30,300442.SZ,50336.50505328595,2020-10-28,2,2020-10-28,2,complete_account
a,0.0015,2020-11-02,300442.SZ,50336.50505328595,2020-10-28,3,2020-10-28,3,complete_account
a,0.0015,2020-11-02,600486.SH,60274.452557360506,2020-10-30,1,2020-10-30,1,complete_account
a,0.0015,2020-11-03,300442.SZ,50336.50505328595,2020-10-28,4,2020-10-28,4,complete_account
a,0.0015,2020-11-03,600486.SH,60274.452557360506,2020-10-30,2,2020-10-30,2,complete_account
a,0.0015,2020-11-04,300442.SZ,50336.50505328595,2020-10-28,5,2020-10-28,5,complete_account
a,0.0015,2020-11-04,600486.SH,60274.452557360506,2020-10-30,3,2020-10-30,3,complete_account
a,0.0015,2020-11-05,300442.SZ,50336.50505328595,2020-10-28,6,2020-10-28,6,complete_account
a,0.0015,2020-11-05,600486.SH,60274.452557360506,2020-10-30,4,2020-10-30,4,complete_account
a,0.0015,2020-11-06,300442.SZ,50336.50505328595,2020-10-28,7,2020-10-28,7,complete_account
a,0.0015,2020-11-06,600486.SH,60274.452557360506,2020-10-30,5,2020-10-30,5,complete_account
a,0.0015,2020-11-09,300442.SZ,50336.50505328595,2020-10-28,8,2020-10-28,8,complete_account
a,0.0015,2020-11-10,300442.SZ,50336.50505328595,2020-10-28,9,2020-10-28,9,complete_account
a,0.0015,2020-11-11,300442.SZ,50336.50505328595,2020-10-28,10,2020-10-28,10,complete_account
a,0.0015,2021-04-16,000737.SZ,58981.55794749533,2021-04-15,1,2021-04-15,1,complete_account
a,0.0015,2021-04-30,600329.SH,69744.44507514079,2021-04-29,1,2021-04-29,1,complete_account
a,0.0015,2021-07-16,600816.SH,68253.19524608021,2021-07-16,0,2021-07-15,1,complete_account
a,0.0015,2021-07-19,600816.SH,68253.19524608021,2021-07-16,1,2021-07-15,2,complete_account
a,0.0015,2021-07-20,600816.SH,68253.19524608021,2021-07-16,2,2021-07-15,3,complete_account
a,0.0015,2021-07-21,600816.SH,68253.19524608021,2021-07-16,3,2021-07-15,4,complete_account
a,0.0015,2021-07-22,600816.SH,68253.19524608021,2021-07-16,4,2021-07-15,5,complete_account
a,0.0015,2021-07-23,600816.SH,68253.19524608021,2021-07-16,5,2021-07-15,6,complete_account
a,0.0015,2021-09-24,000737.SZ,100335.18674575172,2021-09-23,1,2021-09-23,1,complete_account
a,0.0015,2021-09-30,600039.SH,86207.86658252649,2021-09-29,1,2021-09-29,1,complete_account
a,0.0015,2021-10-08,600039.SH,86207.86658252649,2021-09-29,2,2021-09-29,2,complete_account
a,0.0015,2021-10-11,600039.SH,86207.86658252649,2021-09-29,3,2021-09-29,3,complete_account
a,0.0015,2021-10-12,600039.SH,86207.86658252649,2021-09-29,4,2021-09-29,4,complete_account
a,0.0015,2021-10-13,600039.SH,86207.86658252649,2021-09-29,5,2021-09-29,5,complete_account
a,0.0015,2021-10-14,600039.SH,86207.86658252649,2021-09-29,6,2021-09-29,6,complete_account
a,0.0015,2021-10-15,600039.SH,86207.86658252649,2021-09-29,7,2021-09-29,7,complete_account
a,0.0015,2021-10-18,600039.SH,86207.86658252649,2021-09-29,8,2021-09-29,8,complete_account
a,0.0015,2021-10-19,600039.SH,86207.86658252649,2021-09-29,9,2021-09-29,9,complete_account
