market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
a,0.0015,2020-01-23,2020-02-03,000708.SZ,buy,851.122564686353,39.105305865398,19.24,33283.40822100183,49.925112331502746,966666.6666666666,579699.6292000001,complete_account
a,0.0015,2020-01-23,2020-02-03,000786.SZ,buy,172.88517211724462,192.51742537197,23.29,33283.40822100183,49.925112331502746,933333.3333333333,3160390.3895,complete_account
a,0.0015,2020-01-23,2020-02-03,000858.SZ,buy,19.777188493917755,1682.919097992,113.54,33283.40822100183,49.925112331502746,899999.9999999999,19033732.06,complete_account
a,0.0015,2020-01-23,2020-02-03,002032.SZ,buy,85.59822265855209,388.83293586326,63.57,33283.40822100183,49.925112331502746,866666.6666666665,2033482.3979,complete_account
a,0.0015,2020-01-23,2020-02-03,002461.SZ,buy,2535.213825233204,13.128442220427,6.31,33283.40822100183,49.925112331502746,833333.3333333331,79417.66,complete_account
a,0.0015,2020-01-23,2020-02-03,002831.SZ,buy,538.8450621875922,61.768049030418,27.3,33283.40822100183,49.925112331502746,799999.9999999998,1079150.935,complete_account
a,0.0015,2020-01-23,2020-02-03,300223.SZ,buy,137.80472570542292,241.52588418593,91.6,33283.40822100183,49.925112331502746,766666.6666666664,985432.8,complete_account
a,0.0015,2020-01-23,2020-02-03,300413.SZ,buy,465.20092240539344,71.546307451208,41.7,33283.40822100183,49.925112331502746,733333.333333333,6997577.532000001,complete_account
a,0.0015,2020-01-23,2020-02-03,300442.SZ,buy,2153.9824106851047,15.452033431608,15.39,33283.40822100183,49.925112331502746,699999.9999999997,516896.88,complete_account
a,0.0015,2020-01-23,2020-02-03,300502.SZ,buy,233.75083363764995,142.38840436649,46.71,33283.40822100183,49.925112331502746,666666.6666666663,1474914.96,complete_account
a,0.0015,2020-01-23,2020-02-03,300548.SZ,buy,472.5335386518432,70.436075957615,69.66,33283.40822100183,49.925112331502746,633333.3333333329,1243471.4664,complete_account
a,0.0015,2020-01-23,2020-02-03,300620.SZ,buy,915.3827152328375,36.360101263804,35.98,33283.40822100183,49.925112331502746,599999.9999999995,73794.98,complete_account
a,0.0015,2020-01-23,2020-02-03,600009.SH,buy,204.14227972843028,163.04024950284,63.8,33283.40822100183,49.925112331502746,566666.6666666662,32960924.39,complete_account
a,0.0015,2020-01-23,2020-02-03,600563.SH,buy,310.2750361376427,107.27066100876,48.8,33283.40822100183,49.925112331502746,533333.3333333328,1345352.6500000001,complete_account
a,0.0015,2020-01-23,2020-02-03,600595.SH,buy,515.8657795609059,14.542542454329,2.0,7502.0,11.253,525820.0803333328,7502.0,complete_account
a,0.0015,2020-01-23,2020-02-03,600995.SH,buy,729.1217109283402,45.648631390532,6.86,33283.40822100183,49.925112331502746,492486.74699999945,671605.26,complete_account
a,0.0015,2020-01-23,2020-02-03,601567.SH,buy,940.6831432372968,35.382167162536,7.26,33283.40822100183,49.925112331502746,459153.41366666614,768906.81,complete_account
a,0.0015,2020-01-23,2020-02-03,601818.SH,buy,6236.136782257382,5.3371838019489,3.73,33283.40822100183,49.925112331502746,425820.0803333328,9467693.09,complete_account
a,0.0015,2020-01-23,2020-02-03,603179.SH,buy,1197.7496653985272,27.788284298896,19.09,33283.40822100183,49.925112331502746,392486.7469999995,48183.16,complete_account
a,0.0015,2020-01-23,2020-02-03,603568.SH,buy,666.5840001354437,49.93130380303,23.72,33283.40822100183,49.925112331502746,359153.4136666662,1427559.45,complete_account
a,0.0015,2020-01-23,2020-02-03,603606.SH,buy,784.4324331333636,42.429923617581,10.75,33283.40822100183,49.925112331502746,325820.0803333329,196574.5,complete_account
a,0.0015,2020-01-23,2020-02-03,603699.SH,buy,2453.6716279884326,13.564736145353,11.96,33283.40822100183,49.925112331502746,292486.74699999957,346562.22000000003,complete_account
a,0.0015,2020-01-23,2020-02-03,603806.SH,buy,524.6978095030714,63.43348041137,45.15,33283.40822100183,49.925112331502746,259153.41366666622,1108579.4,complete_account
a,0.0015,2020-01-23,2020-02-03,603816.SH,buy,549.3114637368174,60.59114076117,41.23,33283.40822100183,49.925112331502746,225820.08033333288,1309573.03,complete_account
a,0.0015,2020-01-23,2020-02-03,603899.SH,buy,348.6322198979819,95.468537677732,45.09,33283.40822100183,49.925112331502746,192486.74699999954,2332866.84,complete_account
a,0.0015,2020-01-23,2020-02-03,603986.SH,buy,46.262467055478105,719.4473260816,254.7,33283.40822100183,49.925112331502746,159153.4136666662,11806973.59,complete_account
a,0.0015,2020-01-23,2020-02-03,688018.SH,buy,161.6484129237583,205.9,205.9,33283.40822100183,49.925112331502746,125820.08033333285,4319054.73,complete_account
a,0.0015,2020-01-23,2020-02-03,688036.SH,buy,543.9354178951108,61.19,61.19,33283.40822100183,49.925112331502746,92486.74699999951,5895439.82,complete_account
a,0.0015,2020-01-23,2020-02-03,688099.SH,buy,529.8218436963042,62.82,62.82,33283.40822100183,49.925112331502746,59153.41366666617,2025887.6,complete_account
a,0.0015,2020-01-23,2020-02-03,688266.SH,buy,498.55314890655825,66.76,66.76,33283.40822100183,49.925112331502746,25820.080333332837,13727459.68,complete_account
a,0.0015,2020-01-23,2020-02-04,600595.SH,buy,1772.826746215017,13.815415331613,1.9,24492.337809952536,36.7385067149288,1291.0040166653707,328996.52,complete_account
a,0.0015,2020-02-28,2020-03-02,000708.SZ,sell,851.122564686353,58.800233819436,28.93,50046.2058125556,75.0693087188334,51262.14052050214,2214712.9608,complete_account
a,0.0015,2020-02-28,2020-03-02,000786.SZ,sell,172.88517211724462,229.13624007347,27.72,39614.25830340014,59.421387455100216,90816.97743644718,6623374.8496,complete_account
a,0.0015,2020-02-28,2020-03-02,000858.SZ,sell,19.777188493917755,1817.949862328,122.65,35953.93709975269,53.93090564962904,126716.98363055024,32876151.810000002,complete_account
a,0.0015,2020-02-28,2020-03-02,002032.SZ,sell,85.59822265855209,447.85822815648,73.22,38335.868333203,57.5038024998045,164995.34816125344,1512209.1222,complete_account
a,0.0015,2020-02-28,2020-03-02,002461.SZ,sell,2535.213825233204,13.482140346809,6.48,34180.10860096456,51.27016290144684,199124.18659931654,414570.99340000004,complete_account
