factor,ic_mean,icir,ic_pos
high_52w,0.052099118710718095,0.2887556597232337,0.6585365853658537
downside_vol,-0.04781578174797188,-0.25840745399938003,0.4
vol_60,-0.0461576790370705,-0.2476714315201983,0.408
vol_20,-0.04113950902216923,-0.23006603058108518,0.4140625
ep_ttm,0.03877683983568894,0.24389181809201343,0.5703125
mom_12m_s1,0.03736099576599319,0.22788895113956908,0.6239316239316239
max_20,-0.03634678679965571,-0.2404009579006955,0.4296875
bp,0.02690067610937908,0.16078709567740473,0.5703125
mom_6m_s1,0.025984432478623923,0.1765902634233915,0.5772357723577236
pb,-0.023249866656356977,-0.1421239713738466,0.421875
turn_20,-0.0224411016644697,-0.13934344245045616,0.453125
corr_pv_20,-0.019394001792987885,-0.1801080525855935,0.4296875
skew_60,-0.018786240352187893,-0.18597161857535133,0.376
turnover_proxy,-0.01774625014009678,-0.11826174571732063,0.4765625
turn_chg,0.01424019882217765,0.13762019939744632,0.5952380952380952
amt_log_20,-0.011646789014706766,-0.09998120021313556,0.4140625
amt_ratio,0.00958694025517502,0.08968158212458455,0.5447154471544715
pe_ttm,-0.00856508479088648,-0.07363815702978743,0.4609375
vol_cv_20,-0.006323977513668387,-0.06384827760880975,0.5078125
rev_5d,0.005961034721908509,0.043702538419315255,0.5625
bias_60,0.005226400146986098,0.03249117922439861,0.5555555555555556
mom_1m,0.004223162595259719,0.02743010638101279,0.5625
mom_3m,0.003973993690599076,0.025273615749087968,0.568
bias_20,0.003783615548749099,0.024888726882096493,0.5703125
low_52w,-0.0020552012747366427,-0.013893500644743635,0.5203252032520326
size,-0.0017180827681776987,-0.015846415644923215,0.5234375
mktcap,0.0015856268762400303,0.014646872885584066,0.4765625
amihud_20,0.001509614252516577,0.014178020418515997,0.5234375
