market,fee_per_side,date,signal_date,equity_before_trades,cash,holdings_value,equity,net_value,cash_weight,signal_exclusion_reserved_cash,trade_gross,fees_paid,held_stocks,pending_orders,stale_market_value,max_stale_trading_days,benchmark_close,benchmark_nav,account_evidence_status
hk,0.0015,2020-03-02,2020-02-28,1000000.0,189629.68426666688,809156.5808620403,998786.2651287072,0.9987862651287072,0.1898601241199793,0.0,809156.5808620404,1213.7348712930605,14,4,0.0,0,26291.68,1.0,complete_account
hk,0.0015,2020-03-03,2020-02-28,1008891.4864759259,36471.30238468481,972190.790608642,1008662.0929933268,1.0086620929933268,0.0361580975809766,0.0,152928.98839938303,229.39348259907453,15,2,0.0,0,26284.82,0.999739080956409,complete_account
hk,0.0015,2020-03-04,2020-02-28,1017753.2862714458,1830.2975379184172,1015871.1050517799,1017701.4025896983,1.0177014025896982,0.0017984622338742412,0.0,34589.12116501886,51.88368174752829,15,1,0.0,0,26222.07,0.9973523943696256,complete_account
hk,0.0015,2020-03-05,2020-02-28,1037224.4113178619,0.0,1037221.6699835565,1037221.6699835565,1.0372216699835566,0.0,0.0,1827.5562036129977,2.7413343054194965,15,1,0.0,0,26767.87,1.0181118133188902,complete_account
hk,0.0015,2020-03-06,2020-02-28,1027147.0573945553,0.0,1027147.0573945553,1027147.0573945553,1.0271470573945554,0.0,0.0,0.0,0.0,15,1,0.0,0,26146.67,0.9944845669808852,complete_account
hk,0.0015,2020-03-09,2020-02-28,980237.1299015455,0.0,980237.1299015455,980237.1299015455,0.9802371299015454,0.0,0.0,0.0,0.0,15,1,0.0,0,25040.46,0.9524100399822301,complete_account
hk,0.0015,2020-03-10,2020-02-28,987464.091179251,0.0,987464.091179251,987464.091179251,0.9874640911792509,0.0,0.0,0.0,0.0,15,1,0.0,0,25392.51,0.9658002075181197,complete_account
hk,0.0015,2020-03-11,2020-02-28,985804.5792906976,0.0,985804.5792906976,985804.5792906976,0.9858045792906975,0.0,0.0,0.0,0.0,15,1,0.0,0,25231.61,0.9596804007959933,complete_account
hk,0.0015,2020-03-12,2020-02-28,947494.6398048633,0.0,947494.6398048633,947494.6398048633,0.9474946398048633,0.0,0.0,0.0,0.0,15,1,0.0,0,24309.07,0.9245917339629875,complete_account
hk,0.0015,2020-03-13,2020-02-28,936869.3023158833,0.0,936869.3023158833,936869.3023158833,0.9368693023158834,0.0,0.0,0.0,0.0,15,1,0.0,0,24032.91,0.9140880308903805,complete_account
hk,0.0015,2020-03-16,2020-02-28,890974.7318708632,0.0,890974.7318708632,890974.7318708632,0.8909747318708633,0.0,0.0,0.0,0.0,15,1,0.0,0,23063.57,0.8772193332643634,complete_account
hk,0.0015,2020-03-17,2020-02-28,898626.4031611143,0.0,898626.4031611143,898626.4031611143,0.8986264031611143,0.0,0.0,0.0,0.0,15,1,0.0,0,23263.73,0.8848323880406272,complete_account
hk,0.0015,2020-03-18,2020-02-28,866076.18264715,0.0,866076.18264715,866076.18264715,0.86607618264715,0.0,0.0,0.0,0.0,15,1,0.0,0,22291.82,0.8478659408603786,complete_account
hk,0.0015,2020-03-19,2020-02-28,847262.5741842077,0.0,847262.5741842077,847262.5741842077,0.8472625741842077,0.0,0.0,0.0,0.0,15,1,0.0,0,21709.13,0.8257034164420075,complete_account
hk,0.0015,2020-03-20,2020-02-28,881463.5217378066,0.0,881463.5217378066,881463.5217378066,0.8814635217378066,0.0,0.0,0.0,0.0,15,1,0.0,0,22805.07,0.8673873255721962,complete_account
hk,0.0015,2020-03-23,2020-02-28,839472.5289740538,0.0,839472.5289740538,839472.5289740538,0.8394725289740538,0.0,0.0,0.0,0.0,15,1,0.0,0,21696.13,0.8252089634439488,complete_account
hk,0.0015,2020-03-24,2020-02-28,869587.7587292223,0.0,869587.7587292223,869587.7587292223,0.8695877587292223,0.0,0.0,0.0,0.0,15,1,0.0,0,22663.49,0.862002352074877,complete_account
hk,0.0015,2020-03-25,2020-02-28,898136.8057570212,0.0,898136.8057570212,898136.8057570212,0.8981368057570212,0.0,0.0,0.0,0.0,15,1,0.0,0,23527.19,0.8948530485689768,complete_account
hk,0.0015,2020-03-26,2020-02-28,894922.634712464,0.0,894922.634712464,894922.634712464,0.8949226347124639,0.0,0.0,0.0,0.0,15,1,0.0,0,23352.34,0.8882026557450874,complete_account
hk,0.0015,2020-03-27,2020-02-28,901215.2346461817,0.0,901215.2346461817,901215.2346461817,0.9012152346461817,0.0,0.0,0.0,0.0,15,1,0.0,0,23484.28,0.8932209733269232,complete_account
hk,0.0015,2020-03-30,2020-02-28,893935.9814747002,0.0,893935.9814747002,893935.9814747002,0.8939359814747001,0.0,0.0,0.0,0.0,15,1,0.0,0,23175.11,0.8814617399877072,complete_account
hk,0.0015,2020-03-31,2020-02-28,906799.9282592637,0.0,906799.9282592637,906799.9282592637,0.9067999282592637,0.0,0.0,0.0,0.0,15,1,0.0,0,23603.48,0.8977547269706614,complete_account
hk,0.0015,2020-04-01,2020-03-31,897074.5400721559,4393.319383986425,891117.2229377761,895510.5423217625,0.8955105423217625,0.004905938206596654,0.0,1042665.1669288452,1563.9977503932676,16,2,0.0,0,23085.79,0.8780644675425838,complete_account
