market,fee_per_side,signal_date,date,code,side,reason,requested_notional,capacity_notional,account_evidence_status,remaining_units,funded_notional
hk,0.0015,2020-02-28,2020-03-02,00697.HK,buy,daily_amount_capacity,66566.81644200366,38955.8,complete_account,,
hk,0.0015,2020-02-28,2020-03-02,00811.HK,buy,daily_amount_capacity,66566.81644200366,30347.3,complete_account,,
hk,0.0015,2020-02-28,2020-03-02,00863.HK,buy,daily_amount_capacity,66566.81644200366,7618.5,complete_account,,
hk,0.0015,2020-02-28,2020-03-02,01811.HK,buy,zero_or_missing_volume,,,complete_account,49733.62831485611,
hk,0.0015,2020-02-28,2020-03-03,00697.HK,buy,daily_amount_capacity,28023.121165018867,19621.3,complete_account,,
hk,0.0015,2020-02-28,2020-03-03,00863.HK,buy,daily_amount_capacity,59856.48378214657,12217.1,complete_account,,
hk,0.0015,2020-02-28,2020-03-04,00863.HK,buy,daily_amount_capacity,48625.02620522547,26187.3,complete_account,,
hk,0.0015,2020-02-28,2020-03-05,00863.HK,buy,daily_amount_capacity,22437.72620522547,4215.85,complete_account,,
hk,0.0015,2020-02-28,2020-03-05,00863.HK,buy,insufficient_unreserved_cash,4215.85,,complete_account,,1827.5562036129977
hk,0.0015,2020-02-28,2020-03-06,00863.HK,buy,daily_amount_capacity,20582.318420529213,3678.15,complete_account,,
hk,0.0015,2020-02-28,2020-03-06,00863.HK,buy,insufficient_unreserved_cash,3678.15,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-09,00863.HK,buy,daily_amount_capacity,19496.10675828207,8434.8,complete_account,,
hk,0.0015,2020-02-28,2020-03-09,00863.HK,buy,insufficient_unreserved_cash,8434.8,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-10,00863.HK,buy,daily_amount_capacity,19635.36466369837,7933.75,complete_account,,
hk,0.0015,2020-02-28,2020-03-10,00863.HK,buy,insufficient_unreserved_cash,7933.75,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-11,00863.HK,buy,daily_amount_capacity,19774.62256911467,3970.5,complete_account,,
hk,0.0015,2020-02-28,2020-03-11,00863.HK,buy,insufficient_unreserved_cash,3970.5,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-12,00863.HK,buy,daily_amount_capacity,19328.997271782508,5387.3,complete_account,,
hk,0.0015,2020-02-28,2020-03-12,00863.HK,buy,insufficient_unreserved_cash,5387.3,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-13,00863.HK,buy,daily_amount_capacity,19078.333042033166,16650.35,complete_account,,
hk,0.0015,2020-02-28,2020-03-13,00863.HK,buy,insufficient_unreserved_cash,16650.35,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-16,00863.HK,buy,daily_amount_capacity,18771.96565011731,6089.6,complete_account,,
hk,0.0015,2020-02-28,2020-03-16,00863.HK,buy,insufficient_unreserved_cash,6089.6,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-17,00863.HK,buy,daily_amount_capacity,18911.22355553361,3868.55,complete_account,,
hk,0.0015,2020-02-28,2020-03-17,00863.HK,buy,insufficient_unreserved_cash,3868.55,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-18,00863.HK,buy,daily_amount_capacity,18799.817231200566,2290.6,complete_account,,
hk,0.0015,2020-02-28,2020-03-18,00863.HK,buy,insufficient_unreserved_cash,2290.6,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-19,00863.HK,buy,daily_amount_capacity,18382.043514951663,10990.2,complete_account,,
hk,0.0015,2020-02-28,2020-03-19,00863.HK,buy,insufficient_unreserved_cash,10990.2,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-20,00863.HK,buy,daily_amount_capacity,18966.926717700127,16360.1,complete_account,,
hk,0.0015,2020-02-28,2020-03-20,00863.HK,buy,insufficient_unreserved_cash,16360.1,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-23,00863.HK,buy,daily_amount_capacity,18855.520393367085,5290.0,complete_account,,
hk,0.0015,2020-02-28,2020-03-23,00863.HK,buy,insufficient_unreserved_cash,5290.0,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-24,00863.HK,buy,daily_amount_capacity,18939.075136616866,8201.0,complete_account,,
hk,0.0015,2020-02-28,2020-03-24,00863.HK,buy,insufficient_unreserved_cash,8201.0,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-25,00863.HK,buy,daily_amount_capacity,17797.160312203203,9031.45,complete_account,,
hk,0.0015,2020-02-28,2020-03-25,00863.HK,buy,insufficient_unreserved_cash,9031.45,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-26,00863.HK,buy,insufficient_unreserved_cash,17017.31604187192,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-27,00863.HK,buy,insufficient_unreserved_cash,16710.94864995606,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-30,00863.HK,buy,daily_amount_capacity,17100.8707851217,12284.550000000001,complete_account,,
hk,0.0015,2020-02-28,2020-03-30,00863.HK,buy,insufficient_unreserved_cash,12284.550000000001,,complete_account,,0.0
hk,0.0015,2020-02-28,2020-03-31,00863.HK,buy,daily_amount_capacity,17295.83185270452,13455.65,complete_account,,
hk,0.0015,2020-02-28,2020-03-31,00863.HK,buy,insufficient_unreserved_cash,13455.65,,complete_account,,0.0
hk,0.0015,2020-03-31,2020-04-01,00697.HK,sell,daily_amount_capacity,51266.384006080974,49388.28,complete_account,,
hk,0.0015,2020-03-31,2020-04-01,00863.HK,buy,daily_amount_capacity,18641.717407946508,12382.5,complete_account,,
hk,0.0015,2020-04-29,2020-05-04,00863.HK,sell,daily_amount_capacity,58083.809289121134,6739.85,complete_account,,
hk,0.0015,2020-04-29,2020-05-04,00241.HK,buy,insufficient_unreserved_cash,65144.099998051286,,complete_account,,58909.751789344264
hk,0.0015,2020-04-29,2020-05-04,00586.HK,buy,insufficient_unreserved_cash,65144.09999805128,,complete_account,,58909.75178934426
hk,0.0015,2020-04-29,2020-05-04,00775.HK,buy,insufficient_unreserved_cash,695.3560948172479,,complete_account,,628.8098991638104
hk,0.0015,2020-04-29,2020-05-04,00981.HK,buy,insufficient_unreserved_cash,65144.099998051286,,complete_account,,58909.751789344264
hk,0.0015,2020-04-29,2020-05-04,01475.HK,buy,insufficient_unreserved_cash,5444.210908741839,,complete_account,,4923.195091073728
