market,fee_per_side,signal_date,entry_date,exit_date,net_return,benchmark_return,account_evidence_status
hk,0.0015,2020-02-28,2020-03-02,2020-04-01,-0.10292545992784408,-0.12193553245741617,complete_account
hk,0.0015,2020-03-31,2020-04-01,2020-05-04,0.09106717002834541,0.022871645284826547,complete_account
hk,0.0015,2020-04-29,2020-05-04,2020-06-01,0.0956023755821922,0.005027568625125989,complete_account
hk,0.0015,2020-05-29,2020-06-01,2020-07-02,0.06528402845952863,0.058639790464729336,complete_account
hk,0.0015,2020-06-30,2020-07-02,2020-08-03,-0.01617498526928829,-0.026510705419756753,complete_account
hk,0.0015,2020-07-31,2020-08-03,2020-09-01,0.018332694387954707,0.029712819418328262,complete_account
hk,0.0015,2020-08-31,2020-09-01,2020-10-05,-0.09544438314151016,-0.05626676355030902,complete_account
hk,0.0015,2020-09-30,2020-10-05,2020-11-02,0.07085280332933852,0.02912472262870147,complete_account
hk,0.0015,2020-10-30,2020-11-02,2020-12-01,0.023247484824480358,0.0861679942076885,complete_account
hk,0.0015,2020-11-30,2020-12-01,2021-01-04,0.09621794152117258,0.034068838528618306,complete_account
hk,0.0015,2020-12-31,2021-01-04,2021-02-01,-0.009994521061060024,0.05168928842735787,complete_account
hk,0.0015,2021-01-29,2021-02-01,2021-03-01,0.07050122295789163,0.019371914029971293,complete_account
hk,0.0015,2021-02-26,2021-03-01,2021-04-01,-0.0671172760445996,-0.01744601574667337,complete_account
hk,0.0015,2021-03-31,2021-04-01,2021-05-03,0.08948131882748211,-0.020083804616234158,complete_account
hk,0.0015,2021-04-30,2021-05-03,2021-06-01,0.1523493186860041,0.03915925006188825,complete_account
hk,0.0015,2021-05-31,2021-06-01,2021-07-02,0.023408019588392337,-0.039282611646531906,complete_account
hk,0.0015,2021-06-30,2021-07-02,2021-08-02,0.037906771501191594,-0.07328114524616725,complete_account
hk,0.0015,2021-07-30,2021-08-02,2021-09-01,0.020900773380575277,-0.007909421477523049,complete_account
hk,0.0015,2021-08-31,2021-09-01,2021-10-04,-0.05805638253260437,-0.07652903821188417,complete_account
hk,0.0015,2021-09-30,2021-10-04,2021-11-01,-0.04525613669695616,0.04651076680879851,complete_account
hk,0.0015,2021-10-29,2021-11-01,2021-12-01,0.0002951611678814192,-0.05944903300904181,complete_account
hk,0.0015,2021-11-30,2021-12-01,2022-01-03,0.049962410470910656,-0.016237850248447483,complete_account
hk,0.0015,2021-12-31,2022-01-03,2022-02-04,-0.048951550448709136,0.055791791533743584,complete_account
hk,0.0015,2022-01-31,2022-02-04,2022-03-01,-0.02301365407299516,-0.07372150819039702,complete_account
