market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
hk,0.0015,2020-02-28,2020-03-02,00268.HK,buy,1289.4030565392409,51.626073092047,10.06,66566.81644200366,99.85022466300549,933333.3333333334,1835603.54,complete_account
hk,0.0015,2020-02-28,2020-03-02,00303.HK,buy,199.2080931921153,334.15718897428,66.4,66566.81644200366,99.85022466300549,866666.6666666667,692909.18,complete_account
hk,0.0015,2020-02-28,2020-03-02,00425.HK,buy,1727.354857024408,38.536850822114,27.75,66566.81644200366,99.85022466300549,800000.0000000001,2091578.37,complete_account
hk,0.0015,2020-02-28,2020-03-02,00667.HK,buy,4278.073036118487,15.56,15.56,66566.81644200366,99.85022466300549,733333.3333333335,537250.08,complete_account
hk,0.0015,2020-02-28,2020-03-02,00697.HK,buy,79326.74082170427,0.49108030402456,0.335,38955.8,58.43370000000001,694319.0996333335,38955.8,complete_account
hk,0.0015,2020-02-28,2020-03-02,00700.HK,buy,32.27733964114347,2062.3390025971,389.6,66566.81644200366,99.85022466300549,627652.4329666669,90097487.75,complete_account
hk,0.0015,2020-02-28,2020-03-02,00811.HK,buy,2417.64576479697,12.552417910797,5.38,30347.3,45.52095,597259.6120166669,30347.3,complete_account
hk,0.0015,2020-02-28,2020-03-02,00823.HK,buy,932.308353529463,71.4,71.4,66566.81644200366,99.85022466300549,530592.9453500003,7511204.9,complete_account
hk,0.0015,2020-02-28,2020-03-02,00863.HK,buy,1067.0168067226891,7.14,7.14,7618.5,11.42775,522963.0176000003,7618.5,complete_account
hk,0.0015,2020-02-28,2020-03-02,00968.HK,buy,8644.793322092091,7.7002206949112,6.17,66566.81644200366,99.85022466300549,456296.3509333336,2934965.09,complete_account
hk,0.0015,2020-02-28,2020-03-02,00998.HK,buy,9947.650982070025,6.6917120998702,4.11,66566.81644200366,99.85022466300549,389629.68426666694,1026874.14,complete_account
hk,0.0015,2020-02-28,2020-03-02,01475.HK,buy,9874.177185038769,6.7415051598289,6.51,66566.81644200366,99.85022466300549,322963.01760000025,119057.5,complete_account
hk,0.0015,2020-02-28,2020-03-02,01858.HK,buy,390.1325643806388,170.62614741654,79.4,66566.81644200366,99.85022466300549,256296.35093333357,594444.4,complete_account
hk,0.0015,2020-02-28,2020-03-02,06823.HK,buy,3651.8573362230813,18.228208364473,11.56,66566.81644200366,99.85022466300549,189629.68426666688,1319031.91,complete_account
hk,0.0015,2020-02-28,2020-03-03,00697.HK,buy,39367.80056571197,0.49840986080105,0.34,19621.3,29.43195,169978.9523166669,19621.3,complete_account
hk,0.0015,2020-02-28,2020-03-03,00811.HK,buy,2885.461327004524,12.692407701624,5.44,36623.45156961042,54.935177354415636,133300.56556970207,87545.6,complete_account
hk,0.0015,2020-02-28,2020-03-03,00863.HK,buy,1685.1172413793104,7.25,7.25,12217.1,18.32565,121065.13991970207,12217.1,complete_account
hk,0.0015,2020-02-28,2020-03-03,01811.HK,buy,49733.62831485611,1.6983908009893,1.51,84467.1368297726,126.7007052446589,36471.30238468481,2561369.16,complete_account
hk,0.0015,2020-02-28,2020-03-04,00697.HK,buy,16857.25308788105,0.49840986080105,0.34,8401.821165018864,12.602731747528296,28056.878487918417,48040.0,complete_account
hk,0.0015,2020-02-28,2020-03-04,00863.HK,buy,3538.824324324324,7.4,7.4,26187.3,39.28095,1830.2975379184172,26187.3,complete_account
hk,0.0015,2020-02-28,2020-03-05,00863.HK,buy,246.96705454229698,7.4,7.4,1827.5562036129977,2.7413343054194965,0.0,4215.85,complete_account
hk,0.0015,2020-03-31,2020-04-01,00268.HK,sell,177.23420269912253,53.678799656344,10.46,9513.719258938061,14.270578888407092,9499.448680049654,1728763.68,complete_account
hk,0.0015,2020-03-31,2020-04-01,00303.HK,sell,199.2080931921153,280.81281844525,55.8,55940.18610638192,83.91027915957288,65355.724507272,400778.71,complete_account
hk,0.0015,2020-03-31,2020-04-01,00697.HK,sell,130585.96017332422,0.37820512966668,1.29,49388.28,74.08242,114669.922087272,49388.28,complete_account
hk,0.0015,2020-03-31,2020-04-01,00700.HK,sell,32.27733964114347,1981.8781380193,374.4,63969.75378820596,95.95463068230895,178543.72124479566,89176248.99,complete_account
hk,0.0015,2020-03-31,2020-04-01,00811.HK,sell,5303.107091801494,11.619152638619,4.98,61617.61075858445,92.42641613787667,240068.90558724222,73594.5,complete_account
hk,0.0015,2020-03-31,2020-04-01,00823.HK,sell,932.308353529463,65.85,65.85,61392.505079915136,92.08875761987271,301369.3219095375,4936131.14,complete_account
hk,0.0015,2020-03-31,2020-04-01,00968.HK,sell,8644.793322092091,5.641004463695,4.52,48765.31771764222,73.14797657646332,350061.49165060325,2965299.43,complete_account
hk,0.0015,2020-03-31,2020-04-01,00998.HK,sell,9947.650982070025,6.0241690436787,3.7,59926.331103506265,89.88949665525939,409897.93325745425,2006495.01,complete_account
hk,0.0015,2020-03-31,2020-04-01,01475.HK,sell,575.8258439613437,6.4204811045989,6.2,3697.0789506935216,5.545618426040282,413589.46658972173,183958.55000000002,complete_account
hk,0.0015,2020-03-31,2020-04-01,01811.HK,sell,16351.369619276746,1.7883717705781,1.59,29242.327837402907,43.86349175610436,442787.9309353685,309315.60000000003,complete_account
hk,0.0015,2020-03-31,2020-04-01,01858.HK,sell,95.52984654717439,202.64541185617,94.3,19358.685098108872,29.038027647163307,462117.57800583023,609746.0,complete_account
hk,0.0015,2020-03-31,2020-04-01,06823.HK,sell,3651.8573362230813,16.840593886901,10.68,61499.446332233,92.2491694983495,523524.77516856487,1213509.8800000001,complete_account
hk,0.0015,2020-03-31,2020-04-01,00425.HK,buy,837.6386827674525,23.274869181212,16.76,19495.930762535194,29.243896143802793,503999.6005098859,1446949.03,complete_account
hk,0.0015,2020-03-31,2020-04-01,00667.HK,buy,747.1701532173247,11.88,11.88,8876.381420221818,13.314572130332728,495109.9045175337,976010.9400000001,complete_account
