date,总市值,市盈率(TTM),市净率
2006-11-25,56.26,18.5,5.67
2006-12-06,57.33,18.86,5.78
2006-12-17,54.91,18.06,5.53
2006-12-28,51.7,17.0,5.21
2007-01-08,56.04,18.43,5.65
2007-01-19,70.94,23.33,7.15
2007-01-30,78.78,25.91,7.94
2007-02-10,80.83,26.58,8.15
2007-02-21,85.02,27.96,8.57
2007-03-04,80.61,26.66,8.12
2007-03-15,78.7,26.03,7.93
2007-03-26,82.37,27.24,8.3
2007-04-06,91.32,30.2,9.2
2007-04-17,96.04,32.84,4.72
2007-04-28,91.48,30.62,4.37
2007-05-09,95.65,32.02,4.56
2007-05-20,93.3,31.23,4.45
2007-05-31,103.96,34.8,4.96
2007-06-11,99.94,33.45,4.77
2007-06-22,98.33,32.91,4.69
2007-07-03,90.65,30.34,4.33
2007-07-14,88.17,29.51,4.21
2007-07-25,93.3,31.23,4.45
2007-08-05,95.21,31.87,4.54
2007-08-16,100.48,32.07,4.57
2007-08-27,118.57,37.84,5.4
2007-09-07,113.22,36.14,5.15
2007-09-18,124.88,39.86,5.69
2007-09-29,115.88,36.98,5.28
2007-10-10,111.75,35.67,5.09
2007-10-21,106.58,34.02,4.85
2007-11-01,97.11,28.34,4.24
2007-11-12,91.19,26.61,3.98
2007-11-23,99.15,28.93,4.33
2007-12-04,98.29,28.68,4.3
2007-12-15,107.95,31.5,4.72
2007-12-26,122.62,35.78,5.36
2008-01-06,143.9,41.99,6.29
2008-01-17,139.42,40.68,6.09
2008-01-28,142.11,41.47,6.21
2008-02-08,147.13,42.93,6.43
2008-02-19,153.66,44.84,6.71
2008-03-01,147.13,39.57,6.43
2008-03-12,148.5,39.93,6.49
2008-03-23,136.37,36.67,5.96
2008-04-03,118.78,31.94,5.19
2008-04-14,126.32,33.97,5.52
2008-04-25,127.4,29.63,5.06
2008-05-06,136.73,31.8,5.44
2008-05-17,136.01,31.63,5.41
2008-05-28,131.56,30.59,5.23
2008-06-08,123.23,28.66,4.9
2008-06-19,90.13,20.96,3.58
2008-06-30,81.14,18.87,3.23
2008-07-11,91.09,21.18,3.62
2008-07-22,96.86,22.53,3.85
2008-08-02,89.13,20.73,3.54
2008-08-13,70.04,16.29,2.78
2008-08-24,71.59,15.81,2.76
2008-09-04,59.54,13.15,2.29
2008-09-15,54.96,12.14,2.12
2008-09-26,54.51,12.04,2.1
2008-10-07,48.73,10.76,1.88
2008-10-18,37.08,8.19,1.43
2008-10-29,32.66,7.13,1.21
2008-11-09,30.14,6.58,1.12
2008-11-20,37.58,8.21,1.39
2008-12-01,35.32,7.71,1.31
