windcode,成分券名称,index
000001.SZ,平安银行,CSI300
000002.SZ,万科A,CSI300
000063.SZ,中兴通讯,CSI300
000100.SZ,TCL科技,CSI300
000157.SZ,中联重科,CSI300
000166.SZ,申万宏源,CSI300
000301.SZ,东方盛虹,CSI300
000333.SZ,美的集团,CSI300
000338.SZ,潍柴动力,CSI300
000408.SZ,藏格矿业,CSI300
000425.SZ,徐工机械,CSI300
000538.SZ,云南白药,CSI300
000568.SZ,泸州老窖,CSI300
000596.SZ,古井贡酒,CSI300
000617.SZ,中油资本,CSI300
000625.SZ,长安汽车,CSI300
000630.SZ,铜陵有色,CSI300
000651.SZ,格力电器,CSI300
000657.SZ,中钨高新,CSI300
000708.SZ,中信特钢,CSI300
000725.SZ,京东方A,CSI300
000768.SZ,中航西飞,CSI300
000776.SZ,广发证券,CSI300
000792.SZ,盐湖股份,CSI300
000807.SZ,云铝股份,CSI300
000858.SZ,五 粮 液,CSI300
000895.SZ,双汇发展,CSI300
000938.SZ,紫光股份,CSI300
000963.SZ,华东医药,CSI300
000975.SZ,山金国际,CSI300
000977.SZ,浪潮信息,CSI300
000988.SZ,华工科技,CSI300
000999.SZ,华润三九,CSI300
001280.SZ,中国铀业,CSI300
001391.SZ,国货航,CSI300
001965.SZ,招商公路,CSI300
001979.SZ,招商蛇口,CSI300
002001.SZ,新和成,CSI300
002027.SZ,分众传媒,CSI300
002028.SZ,思源电气,CSI300
002049.SZ,紫光国微,CSI300
002050.SZ,三花智控,CSI300
002074.SZ,国轩高科,CSI300
002142.SZ,宁波银行,CSI300
002179.SZ,中航光电,CSI300
002202.SZ,金风科技,CSI300
002230.SZ,科大讯飞,CSI300
002236.SZ,大华股份,CSI300
002241.SZ,歌尔股份,CSI300
002304.SZ,洋河股份,CSI300
002311.SZ,海大集团,CSI300
002352.SZ,顺丰控股,CSI300
002353.SZ,杰瑞股份,CSI300
002371.SZ,北方华创,CSI300
002384.SZ,东山精密,CSI300
002415.SZ,海康威视,CSI300
002422.SZ,科伦药业,CSI300
002460.SZ,赣锋锂业,CSI300
002463.SZ,沪电股份,CSI300
002466.SZ,天齐锂业,CSI300
002475.SZ,立讯精密,CSI300
002493.SZ,荣盛石化,CSI300
002532.SZ,天山铝业,CSI300
002558.SZ,巨人网络,CSI300
002594.SZ,比亚迪,CSI300
002600.SZ,领益智造,CSI300
002602.SZ,世纪华通,CSI300
002625.SZ,光启技术,CSI300
002648.SZ,卫星化学,CSI300
002709.SZ,天赐材料,CSI300
002714.SZ,牧原股份,CSI300
002736.SZ,国信证券,CSI300
002837.SZ,英维克,CSI300
002916.SZ,深南电路,CSI300
002920.SZ,德赛西威,CSI300
002938.SZ,鹏鼎控股,CSI300
003816.SZ,中国广核,CSI300
300014.SZ,亿纬锂能,CSI300
300015.SZ,爱尔眼科,CSI300
300033.SZ,同花顺,CSI300
300059.SZ,东方财富,CSI300
300122.SZ,智飞生物,CSI300
300124.SZ,汇川技术,CSI300
300251.SZ,光线传媒,CSI300
300274.SZ,阳光电源,CSI300
300308.SZ,中际旭创,CSI300
300316.SZ,晶盛机电,CSI300
300394.SZ,天孚通信,CSI300
300408.SZ,三环集团,CSI300
300413.SZ,芒果超媒,CSI300
300418.SZ,昆仑万维,CSI300
300433.SZ,蓝思科技,CSI300
300442.SZ,润泽科技,CSI300
300450.SZ,先导智能,CSI300
300476.SZ,胜宏科技,CSI300
300498.SZ,温氏股份,CSI300
300502.SZ,新易盛,CSI300
300628.SZ,亿联网络,CSI300
300661.SZ,圣邦股份,CSI300
300750.SZ,宁德时代,CSI300
300760.SZ,迈瑞医疗,CSI300
300803.SZ,指南针,CSI300
300832.SZ,新产业,CSI300
300866.SZ,安克创新,CSI300
300896.SZ,爱美客,CSI300
300999.SZ,金龙鱼,CSI300
