trade_date,wind_code,open,high,low,close,volume,amt
2015-12-01,01177.HK,2.77,2.78,2.73,2.75,33120355.0,240314459.0
2015-12-02,01177.HK,2.74,2.89,2.73,2.88,20660263.0,154212827.0
2015-12-03,01177.HK,2.82,2.92,2.82,2.89,27597395.0,209013605.0
2015-12-04,01177.HK,2.85,2.94,2.84,2.91,24313497.0,185633646.0
2015-12-07,01177.HK,2.91,2.93,2.86,2.92,14537956.0,111648682.0
2015-12-08,01177.HK,2.92,2.93,2.85,2.89,12643064.0,96548694.0
2015-12-09,01177.HK,2.89,2.89,2.76,2.77,21855563.0,161748809.0
2015-12-10,01177.HK,2.74,2.84,2.73,2.76,16059386.0,117804837.0
2015-12-11,01177.HK,2.76,2.76,2.62,2.62,23219489.0,163433959.0
2015-12-14,01177.HK,2.57,2.57,2.52,2.53,26628937.0,180083972.0
2015-12-15,01177.HK,2.55,2.69,2.55,2.62,17158702.0,119406003.0
2015-12-16,01177.HK,2.66,2.66,2.55,2.57,16012040.0,109903675.0
2015-12-17,01177.HK,2.64,2.64,2.57,2.64,12336000.0,84968168.0
2015-12-18,01177.HK,2.6,2.64,2.58,2.63,20341632.0,140472810.0
2015-12-21,01177.HK,2.6,2.62,2.57,2.59,10410130.0,71426177.0
2015-12-22,01177.HK,2.62,2.66,2.59,2.65,14169231.0,98030436.0
2015-12-23,01177.HK,2.64,2.72,2.64,2.7,19357456.0,137390389.0
2015-12-24,01177.HK,2.7,2.7,2.61,2.65,6472309.0,45092787.0
2015-12-28,01177.HK,2.66,2.66,2.57,2.58,13393709.0,91494447.0
2015-12-29,01177.HK,2.63,2.64,2.59,2.62,6178291.0,42764500.0
2015-12-30,01177.HK,2.62,2.64,2.57,2.61,10413340.0,71475930.0
2015-12-31,01177.HK,2.64,2.68,2.59,2.67,7498000.0,52249655.0
2016-01-04,01177.HK,2.65,2.65,2.5,2.53,14349841.0,96672137.0
2016-01-05,01177.HK,2.57,2.64,2.53,2.6,20724741.0,142102863.0
2016-01-06,01177.HK,2.59,2.63,2.58,2.62,12053780.0,82833538.0
2016-01-07,01177.HK,2.63,2.63,2.5,2.51,15593843.0,104688147.0
2016-01-08,01177.HK,2.34,2.38,1.91,2.01,208621550.0,1178069132.0
2016-01-11,01177.HK,1.93,2.12,1.93,2.09,136599358.0,741884787.0
2016-01-12,01177.HK,2.1,2.13,2.01,2.05,65621088.0,359087655.0
2016-01-13,01177.HK,2.05,2.12,2.03,2.07,34407188.0,188447844.0
2016-01-14,01177.HK,2.05,2.08,2.0,2.05,38167061.0,205235991.0
2016-01-15,01177.HK,2.07,2.18,2.04,2.11,37025095.0,206194982.0
2016-01-18,01177.HK,2.05,2.07,1.98,2.01,24398291.0,130695539.0
2016-01-19,01177.HK,2.04,2.11,2.02,2.1,17454445.0,94840689.0
2016-01-20,01177.HK,2.08,2.08,1.93,1.94,50452020.0,263462518.0
2016-01-21,01177.HK,2.01,2.02,1.84,1.84,75374462.0,376882118.0
2016-01-22,01177.HK,1.91,1.97,1.87,1.94,39778432.0,201529455.0
2016-01-25,01177.HK,1.95,1.99,1.94,1.98,26092999.0,135031964.0
2016-01-26,01177.HK,2.05,2.05,1.96,1.99,28607381.0,150246834.0
2016-01-27,01177.HK,1.94,1.98,1.92,1.97,41747872.0,214838191.0
2016-01-28,01177.HK,1.91,1.95,1.91,1.94,32300927.0,164708884.0
2016-01-29,01177.HK,1.91,2.05,1.91,2.01,68810500.0,361193175.0
2016-02-01,01177.HK,2.01,2.05,1.97,2.03,26497845.0,141539679.0
2016-02-02,01177.HK,2.06,2.08,1.99,2.05,16558560.0,89237365.0
2016-02-03,01177.HK,1.99,2.01,1.94,1.95,18770351.0,97529496.0
2016-02-04,01177.HK,1.96,1.97,1.91,1.96,20971521.0,107649147.0
2016-02-05,01177.HK,2.22,2.22,2.08,2.1,116822015.0,650926220.0
2016-02-11,01177.HK,2.04,2.17,2.03,2.11,29463000.0,164233865.0
2016-02-12,01177.HK,2.11,2.11,2.08,2.08,22080000.0,121691238.0
2016-02-15,01177.HK,2.1,2.17,2.09,2.17,15656000.0,88594825.0
2016-02-16,01177.HK,2.16,2.2,2.13,2.19,18107468.0,103843747.0
2016-02-17,01177.HK,2.18,2.2,2.08,2.11,47698164.0,266659406.0
2016-02-18,01177.HK,2.15,2.23,2.11,2.22,22737120.0,130097219.0
2016-02-19,01177.HK,2.21,2.32,2.21,2.31,33085309.0,198775714.0
2016-02-22,01177.HK,2.27,2.31,2.27,2.31,15784237.0,95659230.0
2016-02-23,01177.HK,2.28,2.32,2.22,2.28,29213500.0,175830495.0
2016-02-24,01177.HK,2.23,2.27,2.2,2.23,23829141.0,140480069.0
2016-02-25,01177.HK,2.22,2.24,2.17,2.18,23371115.0,136111502.0
2016-02-26,01177.HK,2.2,2.24,2.2,2.22,12374283.0,72617041.0
2016-02-29,01177.HK,2.22,2.22,2.14,2.16,13943607.0,79656982.0
2016-03-01,01177.HK,2.19,2.25,2.16,2.19,15084004.0,87869119.0
2016-03-02,01177.HK,2.22,2.28,2.2,2.27,19188901.0,113892977.0
2016-03-03,01177.HK,2.3,2.3,2.17,2.19,20625547.0,120630312.0
2016-03-04,01177.HK,2.18,2.2,2.12,2.15,24224294.0,137134744.0
2016-03-07,01177.HK,2.17,2.22,2.17,2.21,13375663.0,77576338.0
2016-03-08,01177.HK,2.18,2.19,2.11,2.11,14248164.0,80379283.0
