trade_date,wind_code,close,raw_close,volume,amt,mktcap_hkd_yi
2015-12-01,03323.HK,2.5224,4.13,30248044.0,125426114.95,118.90979930479999
2015-12-01,03328.HK,2.6676,5.55,43277001.0,239908742.31,1943.158375965
2015-12-01,03330.HK,0.9491,1.15,204000.0,234900.0,3.418651
2015-12-02,03323.HK,2.5957,4.25,42009908.0,178457470.88,122.36480558
2015-12-02,03328.HK,2.6964,5.61,26536112.0,148296355.67,1964.1654935429997
2015-12-02,03330.HK,0.9243,1.12,1154000.0,1307700.0,3.3294688000000003
2015-12-03,03323.HK,2.553,4.18,16973900.0,71143094.0,120.3493852528
2015-12-03,03328.HK,2.6772,5.57,29089571.0,161682495.02,1950.160748491
2015-12-03,03330.HK,0.9491,1.15,362000.0,413340.0,3.418651
2015-12-04,03323.HK,2.5041,4.1,20732229.0,85388090.19,118.04604773600002
2015-12-04,03328.HK,2.6051,5.42,42922415.0,233886799.16,1897.642954546
2015-12-04,03330.HK,0.9408,1.14,1390000.0,1562680.0,3.3889235999999996
2015-12-07,03323.HK,2.4858,4.07,23447074.0,95507860.49,117.1822961672
2015-12-07,03328.HK,2.6243,5.46,24303878.0,133091078.92,1911.647699598
2015-12-07,03330.HK,1.0481,1.27,3450000.0,4181060.0,3.7753798
2015-12-08,03323.HK,2.4003,3.93,32895904.0,128925038.68,113.1514555128
2015-12-08,03328.HK,2.5955,5.4,26888553.0,144693249.42,1890.64058202
2015-12-08,03330.HK,1.0068,1.22,1396000.0,1716880.0,3.6267428
2015-12-09,03323.HK,2.3575,3.86,18377360.0,70732686.0,111.13603518560001
2015-12-09,03328.HK,2.5859,5.38,22225776.0,119436056.27,1883.638209494
2015-12-09,03330.HK,1.3452,1.63,14209000.0,21647710.0,4.8455661999999995
2015-12-10,03323.HK,2.2537,3.69,45720853.0,170183861.339,106.24144296239999
2015-12-10,03328.HK,2.5763,5.36,27127431.0,145799519.36,1876.635836968
2015-12-10,03330.HK,1.436,1.74,21760000.0,39137680.0,5.1725676
2015-12-11,03323.HK,2.2109,3.62,32515529.0,117026895.94,104.2260226352
2015-12-11,03328.HK,2.557,5.32,34836881.0,185596946.51,1862.631091916
2015-12-11,03330.HK,1.2214,1.48,4820000.0,7276420.0,4.399655200000001
2015-12-14,03323.HK,2.2171,3.63,19329184.0,68527410.32,104.51393982479999
2015-12-14,03328.HK,2.5474,5.3,48938942.0,258767887.41,1855.62871939
2015-12-14,03330.HK,1.2131,1.47,1548000.0,2246740.0,4.3699278
2015-12-15,03323.HK,2.1804,3.57,25009750.0,89577293.65,102.7864366872
2015-12-15,03328.HK,2.5234,5.25,31418276.0,165883593.33,1838.122788075
2015-12-15,03330.HK,1.1471,1.39,722000.0,1024040.0,4.1321086000000005
2015-12-16,03323.HK,2.1926,3.59,16557826.0,59843061.8,103.36227106639998
2015-12-16,03328.HK,2.5907,5.39,36664439.0,198005231.35,1887.139395757
2015-12-16,03330.HK,1.1719,1.42,2228000.0,3190620.0,4.2212908
2015-12-17,03323.HK,2.2293,3.65,18203600.0,66895816.0,105.089774204
2015-12-17,03328.HK,2.5955,5.4,54791197.0,297752868.12,1890.64058202
2015-12-17,03330.HK,1.1389,1.38,758000.0,1061680.0,4.1023812
2015-12-18,03323.HK,2.2293,3.65,14540872.0,52778300.62,105.089774204
2015-12-18,03328.HK,2.5907,5.39,54704971.0,296040183.37,1887.139395757
2015-12-18,03330.HK,1.1059,1.34,1078000.0,1442940.0,3.9834716
