date,总市值,市盈率(TTM),市净率
2015-12-01,212.52945246,5.7271,0.6604
2015-12-02,213.61934708799998,5.7564,0.6638
2015-12-03,214.70924171599998,5.7858,0.6672
2015-12-04,212.52945246,5.7271,0.6604
2015-12-07,214.164294402,5.7711,0.6655
2015-12-08,208.169873948,5.6096,0.6469
2015-12-09,200.540611552,5.404,0.6232
2015-12-10,196.72598035400003,5.3012,0.6113
2015-12-11,191.821454528,5.169,0.5961
2015-12-14,198.36082229599998,5.3453,0.6164
2015-12-15,196.72598035400003,5.3012,0.6113
2015-12-16,197.815874982,5.3306,0.6147
2015-12-17,201.08555886599999,5.4187,0.6249
2015-12-18,199.450716924,5.3746,0.6198
2015-12-21,203.265348122,5.4774,0.6317
2015-12-22,205.990084692,5.5508,0.6401
2015-12-23,212.52945246,5.7271,0.6604
2015-12-24,211.98450514599998,5.7124,0.6588
2015-12-28,211.43955783200002,5.6977,0.6571
2015-12-29,214.164294402,5.7711,0.6655
2015-12-30,215.25418903,5.8005,0.6689
2015-12-31,216.889030972,5.8445,0.674
2016-01-04,210.89461051799998,5.683,0.6554
2016-01-05,212.52945246,5.7271,0.6604
2016-01-06,213.61934708799998,5.7564,0.6638
2016-01-07,201.63050618,5.4334,0.6266
2016-01-08,201.08555886599999,5.4187,0.6249
2016-01-11,193.45629647,5.2131,0.6012
2016-01-12,190.186612586,5.125,0.591
2016-01-13,193.45629647,5.2131,0.6012
2016-01-14,191.821454528,5.169,0.5961
2016-01-15,180.377560934,4.8607,0.5605
2016-01-18,180.377560934,4.8607,0.5605
2016-01-19,188.00682333,5.0662,0.5842
2016-01-20,180.92250824799999,4.8753,0.5622
2016-01-21,177.10787705,4.7726,0.5504
2016-01-22,186.371981388,5.0222,0.5792
2016-01-25,189.641665272,5.1103,0.5893
2016-01-26,184.737139446,4.9781,0.5741
2016-01-27,188.55177064400002,5.0809,0.5859
2016-01-28,189.641665272,5.1103,0.5893
2016-01-29,190.186612586,5.125,0.591
2016-02-01,186.371981388,5.0222,0.5792
2016-02-02,186.916928702,5.0369,0.5809
2016-02-03,185.28208676,4.9928,0.5758
2016-02-04,184.737139446,4.9781,0.5741
2016-02-05,185.827034074,5.0075,0.5775
2016-02-11,179.83261362,4.846,0.5588
2016-02-12,175.473035108,4.7285,0.5453
2016-02-15,182.01240287599998,4.9047,0.5656
2016-02-16,189.096717958,5.0956,0.5876
2016-02-17,185.28208676,4.9928,0.5758
2016-02-18,188.00682333,5.0662,0.5842
2016-02-19,189.096717958,5.0956,0.5876
2016-02-22,191.821454528,5.169,0.5961
2016-02-23,194.00124378400002,5.2278,0.6029
2016-02-24,192.36640184200002,5.1837,0.5978
2016-02-25,185.827034074,5.0075,0.5775
2016-02-26,191.27650721400002,5.1544,0.5944
2016-02-29,188.55177064400002,5.0809,0.5859
2016-03-01,206.535032006,5.5655,0.6418
2016-03-02,213.07439977400003,5.7417,0.6621
2016-03-03,213.61934708799998,5.7564,0.6638
2016-03-04,211.98450514599998,5.7124,0.6588
2016-03-07,220.158714856,5.9327,0.6842
2016-03-08,220.70366217,5.9473,0.6859
2016-03-09,216.889030972,5.8445,0.674
2016-03-10,216.344083658,5.8299,0.6723
2016-03-11,220.158714856,5.9327,0.6842
2016-03-14,226.69808262400002,6.1089,0.7045
2016-03-15,233.78239770599998,6.2998,0.7265
2016-03-16,227.78797725200002,6.1382,0.7079
