date,总市值,市盈率(TTM),市净率
2022-03-22,80.2596891,-7.6123,-2.2577
2022-03-23,79.67809715,-7.5572,-2.2413
2022-03-24,82.00446495,-7.7778,-2.3067
2022-03-25,83.63292241,-7.9323,-2.3525
2022-03-28,83.7492408,-7.9433,-2.3558
2022-03-29,83.7492408,-7.9433,-2.3558
2022-03-30,83.63292241,-7.9323,-2.3525
2022-03-31,84.21451436,-7.9874,-2.3689
2022-04-01,83.86555919,-7.9543,-2.3591
2022-04-04,83.63292241,-7.9323,-2.3525
2022-04-06,82.5860569,-7.833,-2.3231
2022-04-07,78.51491325,-7.4469,-2.2086
2022-04-08,78.51491325,-7.4469,-2.2086
2022-04-11,76.07222706,-7.2152,-2.1399
2022-04-12,75.6069535,-7.1711,-2.1268
2022-04-13,75.14167994,-7.1269,-2.1137
2022-04-14,68.86048688,-6.5312,-1.937
2022-04-19,58.97342373,-5.5934,-1.6589
2022-04-20,62.8119306,-5.9575,-1.7669
2022-04-21,63.74247772,-6.0457,-1.793
2022-04-22,67.11571103,-6.3657,-1.8879
2022-04-25,67.58098459,-6.4098,-1.901
2022-04-26,69.20944205,-6.5643,-1.9468
2022-04-27,69.791034,-6.6194,-1.9632
2022-04-28,75.02536155,-7.1159,-2.1104
2022-04-29,82.00446495,-7.7778,-2.3067
2022-05-03,80.02705232,-7.5903,-2.2511
2022-05-04,79.67809715,-7.5572,-2.2413
2022-05-05,70.9542179,-6.7298,-1.9959
2022-05-06,72.69899375,-6.8952,-2.045
2022-05-10,75.6069535,-7.1711,-2.1268
2022-05-11,73.86217765,-7.0056,-2.0777
2022-05-12,69.791034,-6.6194,-1.9632
2022-05-13,68.86048688,-6.5312,-1.937
2022-05-16,64.67302484,-6.134,-1.8192
2022-05-17,69.55839722,-6.5974,-1.9566
2022-05-18,70.9542179,-6.7298,-1.9959
2022-05-19,70.9542179,-6.7298,-1.9959
2022-05-20,70.9542179,-6.7298,-1.9959
2022-05-23,68.6278501,-6.5091,-1.9305
2022-05-24,69.791034,-6.6194,-1.9632
2022-05-25,69.791034,-6.6194,-1.9632
2022-05-26,69.791034,-6.6194,-1.9632
2022-05-27,69.791034,-6.6194,-1.9632
2022-05-30,74.90904316,-7.1049,-2.1071
2022-05-31,77.35172935,-7.3365,-2.1759
2022-06-01,72.1174018,-6.8401,-2.0286
2022-06-02,70.9542179,-6.7298,-1.9959
2022-06-06,69.791034,-6.6194,-1.9632
2022-06-07,69.791034,-6.6194,-1.9632
2022-06-08,69.791034,-6.6194,-1.9632
2022-06-09,69.67471561,-6.6084,-1.9599
2022-06-10,68.6278501,-6.5091,-1.9305
2022-06-13,72.23372019,-6.8511,-2.0319
2022-06-14,68.51153171,-6.4981,-1.9272
2022-06-15,68.51153171,-6.4981,-1.9272
2022-06-16,67.81362137,-6.4319,-1.9076
2022-06-17,68.6278501,-6.5091,-1.9305
2022-06-20,69.791034,-6.6194,-1.9632
2022-06-21,69.791034,-6.6194,-1.9632
2022-06-22,69.20944205,-6.5643,-1.9468
2022-06-23,68.6278501,-6.5091,-1.9305
2022-06-24,66.41780069,-6.2995,-1.8683
2022-06-27,68.39521332,-7.9125,3.545
2022-06-28,71.07053629,-8.222,3.6837
2022-06-29,73.2805857,-8.4777,3.7982
2022-06-30,75.49063511,-8.7334,3.9128
2022-07-04,61.6487467,-7.132,3.1953
2022-07-05,60.71819958,-7.0244,3.1471
2022-07-06,65.1382984,-7.5357,3.3762
2022-07-07,64.55670645,-7.4684,3.3461
2022-07-08,63.9751145,-7.4012,3.3159
2022-07-11,61.6487467,-7.132,3.1953
2022-07-12,63.85879611,-7.3877,3.3099
2022-07-13,65.1382984,-7.5357,3.3762
2022-07-14,63.85879611,-7.3877,3.3099
2022-07-15,63.85879611,-7.3877,3.3099
2022-07-18,63.85879611,-7.3877,3.3099
2022-07-19,63.9751145,-7.4012,3.3159
2022-07-20,63.85879611,-7.3877,3.3099
2022-07-21,63.85879611,-7.3877,3.3099
2022-07-22,60.71819958,-7.0244,3.1471
2022-07-25,59.90397085,-6.9302,3.1049
2022-07-26,58.159195,-6.7283,3.0145
2022-07-27,58.62446856,-6.7821,3.0386
2022-07-28,58.159195,-6.7283,3.0145
2022-07-29,56.64705593,-6.5534,2.9361
2022-08-01,53.797255375,-6.2237,2.7884
2022-08-02,56.356259955,-6.5197,2.921
2022-08-03,52.517753085,-6.0757,2.7221
2022-08-04,53.215663425,-6.1564,2.7582
2022-08-05,51.1800916,-5.9209,2.6527
2022-08-08,51.005614015,-5.9007,2.6437
2022-08-09,50.71481804,-5.8671,2.6286
2022-08-10,49.493474945,-5.7258,2.5653
2022-08-11,50.13322609,-5.7998,2.5985
2022-08-12,51.005614015,-5.9007,2.6437
2022-08-15,49.609793335,-5.7393,2.5713
2022-08-16,50.94745482,-5.894,2.6407
2022-08-17,49.78427092,-5.7594,2.5804
2022-08-18,51.005614015,-5.9007,2.6437
2022-08-19,51.005614015,-5.9007,2.6437
2022-08-22,51.005614015,-5.9007,2.6437
2022-08-23,52.45959389,-6.0689,2.719
2022-08-24,52.052479525,-6.0218,2.6979
2022-08-25,49.31899736,-5.7056,2.5563
2022-08-26,47.283425535,-5.4701,2.4508
2022-08-29,46.236560025,-5.349,2.3965
2022-08-30,46.236560025,-5.349,2.3965
2022-08-31,46.527356,-5.3827,2.4116
2022-09-01,46.41103761,-5.3692,2.4055
2022-09-02,40.885914085,-4.73,2.1192
2022-09-05,38.3850687,-4.4407,1.9895
2022-09-06,39.722730185,-4.5954,2.0589
2022-09-07,41.700142815,-4.8242,2.1614
2022-09-08,46.527356,-5.3827,2.4116
2022-09-09,48.8537238,-5.6518,2.5322
2022-09-13,46.236560025,-5.349,2.3965
2022-09-14,48.27213185,-5.5845,2.502
2022-09-15,57.57760305,-6.661,2.9843
2022-09-16,69.791034,-8.074,3.6174
2022-09-19,60.4855628,-6.9975,3.135
2022-09-20,54.08805135,-6.2573,2.8035
2022-09-21,52.3432755,-6.0555,2.713
2022-09-22,50.191385285,-5.8065,2.6015
2022-09-23,49.55163414,-5.7325,2.5683
2022-09-26,46.469196805,-5.3759,2.4086
2022-09-27,45.24785371,-5.2346,2.3453
2022-09-28,44.78258015,-5.1808,2.3211
2022-09-29,45.48049049,-5.2615,2.3573
2022-09-30,45.422331295,-5.2548,2.3543
2022-10-03,44.89889854,-5.1943,2.3272
2022-10-05,43.910192225,-5.0799,2.2759
2022-10-06,43.85203303,-5.0732,2.2729
