as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id
"2023-12-29","09999.HK","网易","466971000000","HSCI.HK","2020-06-26","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09997.HK","康基医疗","8505000000","HSCI.HK","2020-09-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09996.HK","沛嘉医疗-B","5020000000","HSCI.HK","2020-09-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09995.HK","荣昌生物","20383000000","HSCI.HK","2021-03-15","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09993.HK","金辉控股","15291000000","HSCI.HK","2021-03-15","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09992.HK","泡泡玛特","27302000000","HSCI.HK","2021-03-15","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09988.HK","阿里巴巴-W","1540292000000","HSCI.HK","2019-12-09","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09987.HK","百胜中国","135350000000","HSCI.HK","2020-12-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09985.HK","卫龙美味","16693000000","HSCI.HK","2023-03-13","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09979.HK","绿城管理控股","10794000000","HSCI.HK","2022-03-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09969.HK","诺诚健华","12148000000","HSCI.HK","2020-09-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09966.HK","康宁杰瑞制药-B","6406999999.999999","HSCI.HK","2020-09-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09961.HK","携程集团-S","189747000000","HSCI.HK","2021-09-06","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09959.HK","联易融科技-W","3610000000","HSCI.HK","2021-09-06","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
"2023-12-29","09956.HK","安能物流","6498999999.999999","HSCI.HK","2022-03-07","44cb0454-1467-410d-bf7a-0afbcd1ccce4"
