windcode,name
00001.HK,长和
00002.HK,中电控股
00003.HK,香港中华煤气
00004.HK,九龙仓集团
00005.HK,汇丰控股
00006.HK,电能实业
00008.HK,电讯盈科
00010.HK,恒隆集团
00011.HK,恒生银行
00012.HK,恒基地产
00013.HK,和黄医药
00014.HK,希慎兴业
00016.HK,新鸿基地产
00017.HK,新世界发展
00019.HK,太古股份公司A
00020.HK,商汤-W
00023.HK,东亚银行
00027.HK,银河娱乐
00041.HK,鹰君
00066.HK,港铁公司
00069.HK,香格里拉(亚洲)
00081.HK,中国海外宏洋集团
00083.HK,信和置业
00087.HK,太古股份公司B
00095.HK,绿景中国地产
00100.HK,MINIMAX-W
00101.HK,恒隆地产
00119.HK,保利置业集团
00120.HK,COSMOPOL INT'L
00123.HK,越秀地产
00135.HK,昆仑能源
00136.HK,中国儒意
00142.HK,第一太平
00144.HK,招商局港口
00148.HK,建滔集团
00151.HK,中国旺旺
00152.HK,深圳国际
00165.HK,中国光大控股
00168.HK,青岛啤酒股份
00173.HK,嘉华国际
00175.HK,吉利汽车
00177.HK,江苏宁沪高速公路
00179.HK,德昌电机控股
00189.HK,东岳集团
00200.HK,新濠国际发展
00215.HK,和记电讯香港
00220.HK,统一企业中国
00241.HK,阿里健康
00256.HK,冠城钟表珠宝
00257.HK,光大环境
00267.HK,中信股份
00268.HK,金蝶国际
00270.HK,粤海投资
00272.HK,瑞安房地产
00285.HK,比亚迪电子
00288.HK,万洲国际
00290.HK,国富量子
00291.HK,华润啤酒
00293.HK,国泰航空
00297.HK,中化化肥
00300.HK,美的集团
00302.HK,中手游
00303.HK,VTECH HOLDINGS
00308.HK,香港中旅
00314.HK,思派健康
00316.HK,东方海外国际
00317.HK,中船防务
00322.HK,康师傅控股
00325.HK,布鲁可
00327.HK,百富环球
00336.HK,华宝国际
00338.HK,上海石油化工股份
00341.HK,大家乐集团
00345.HK,VITASOY INT'L
00354.HK,中国软件国际
00358.HK,江西铜业股份
00363.HK,上海实业控股
00371.HK,北控水务集团
00384.HK,中国燃气
00386.HK,中国石油化工股份
00388.HK,香港交易所
00390.HK,中国中铁
00392.HK,北京控股
00405.HK,越秀房产信托基金
00410.HK,SOHO中国
00412.HK,山高控股
00425.HK,敏实集团
00440.HK,大新金融
00460.HK,四环医药
00467.HK,联合能源集团
00486.HK,俄铝
00489.HK,东风集团股份
00493.HK,国美零售
00506.HK,中国食品
00512.HK,远大医药
00520.HK,呷哺呷哺
00522.HK,ASMPT
00535.HK,金地商置
00546.HK,阜丰集团
00551.HK,裕元集团
00552.HK,中国通信服务
00558.HK,力劲科技
00570.HK,中国中药
00576.HK,浙江沪杭甬
00581.HK,中国东方集团
00586.HK,海螺创业
00587.HK,海螺环保
00590.HK,六福集团
00598.HK,中国外运
00604.HK,深圳控股
00631.HK,三一国际
00636.HK,KLN
00639.HK,首钢资源
00650.HK,普达特科技
00656.HK,复星国际
00658.HK,中国高速传动
00659.HK,周大福创建
00665.HK,海通国际
00666.HK,瑞浦兰钧
00667.HK,中国东方教育
00669.HK,创科实业
00670.HK,中国东方航空股份
00683.HK,嘉里建设
00688.HK,中国海外发展
00694.HK,北京首都机场股份
00696.HK,中国民航信息网络
00697.HK,首程控股
00700.HK,腾讯控股
00710.HK,京东方精电
00728.HK,中国电信
00743.HK,亚洲水泥(中国)
00751.HK,创维集团
00753.HK,中国国航
00754.HK,合生创展集团
00762.HK,中国联通
00763.HK,中兴通讯
00772.HK,阅文集团
00775.HK,长江生命科技
00777.HK,网龙
00778.HK,置富产业信托
00780.HK,同程旅行
00788.HK,中国铁塔
00800.HK,文远知行-W
00806.HK,惠理集团
00813.HK,世茂集团
00817.HK,中国金茂
00819.HK,天能动力
00823.HK,领展房产基金
00826.HK,天工国际
00836.HK,华润电力
00839.HK,中教控股
00853.HK,微创医疗
00855.HK,中国水务
00856.HK,伟仕佳杰
00857.HK,中国石油股份
00861.HK,神州控股
00863.HK,OSL集团
00867.HK,康哲药业
00868.HK,信义玻璃
00873.HK,世茂服务
00880.HK,澳博控股
00881.HK,中升控股
00883.HK,中国海洋石油
00884.HK,旭辉控股集团
00902.HK,华能国际电力股份
00906.HK,中粮包装
00909.HK,明源云
00914.HK,海螺水泥
00916.HK,龙源电力
00917.HK,趣致集团
00921.HK,海信家电
00933.HK,非凡领越
00934.HK,中石化冠德
00939.HK,建设银行
00941.HK,中国移动
00956.HK,新天绿色能源
00960.HK,龙湖集团
00966.HK,中国太平
00968.HK,信义光能
00973.HK,L'OCCITANE
00975.HK,MONGOL MINING
00981.HK,中芯国际
00990.HK,至源控股
00991.HK,大唐发电
00992.HK,联想集团
00998.HK,中信银行
00999.HK,小菜园
01024.HK,快手-W
01030.HK,新城发展
01038.HK,长江基建集团
01044.HK,恒安国际
01052.HK,越秀交通基建
01055.HK,中国南方航空股份
01060.HK,大麦娱乐
01066.HK,威高股份
01070.HK,TCL电子
01071.HK,华电国际电力股份
01083.HK,港华智慧能源
01088.HK,中国神华
01093.HK,石药集团
01099.HK,国药控股
01109.HK,华润置地
01112.HK,H&H国际控股
01113.HK,长实集团
01114.HK,BRILLIANCE CHI
01117.HK,现代牧业
01119.HK,创梦天地
01128.HK,永利澳门
01137.HK,香港科技探索
01138.HK,中远海能
01157.HK,中联重科
01164.HK,中广核矿业
01167.HK,加科思-B
01171.HK,兖矿能源
01176.HK,珠光控股
01177.HK,中国生物制药
01179.HK,华住集团-S
01186.HK,中国铁建
01193.HK,华润燃气
01196.HK,伟禄科技股份
01199.HK,中远海运港口
01208.HK,五矿资源
01209.HK,华润万象生活
01211.HK,比亚迪股份
01238.HK,宝龙地产
01244.HK,思路迪医药股份
01250.HK,山高新能源
01258.HK,中国有色矿业
01268.HK,美东汽车
01274.HK,知行科技
01276.HK,恒瑞医药
01277.HK,力量发展
01288.HK,农业银行
01299.HK,友邦保险
01302.HK,先健科技
01308.HK,海丰国际
01310.HK,香港宽频
01313.HK,华润建材科技
01316.HK,耐世特
01318.HK,毛戈平
01333.HK,博雷顿
01336.HK,新华保险
01339.HK,中国人民保险集团
01341.HK,昊天国际建投
01347.HK,华虹宏力
01357.HK,美图公司
01359.HK,中国信达
01361.HK,361度
01364.HK,古茗
01368.HK,特步国际
01378.HK,中国宏桥
01381.HK,粤丰环保
01384.HK,滴普科技
01385.HK,上海复旦
01398.HK,工商银行
01405.HK,达势股份
01415.HK,高伟电子
01428.HK,耀才证券金融
01448.HK,福寿园
01458.HK,周黑鸭
01468.HK,嘉高达资本
01475.HK,日清食品
01477.HK,欧康维视生物-B
01478.HK,丘钛科技
01513.HK,丽珠医药
01515.HK,华润医疗
01516.HK,融创服务
01519.HK,极兔速递-W
01521.HK,方达控股
01530.HK,三生制药
01541.HK,宜明昂科-B
01548.HK,金斯瑞生物科技
01558.HK,东阳光长江药业
01563.HK,友联国际教育租赁
01579.HK,颐海国际
01585.HK,雅迪控股
01600.HK,天伦燃气
01610.HK,中粮家佳康
01658.HK,邮储银行
01668.HK,华南城
01675.HK,亚信科技
01681.HK,康臣药业
01686.HK,新意网集团
01691.HK,JS环球生活
01698.HK,腾讯音乐-SW
01709.HK,德林控股
01729.HK,汇聚科技
01735.HK,中环新能源
