windcode,name,market_cap_hkd
09999.HK,网易,651640000000.0
09995.HK,荣昌生物,41941000000.0
09993.HK,金辉控股,4328000000.0
09992.HK,泡泡玛特,206018000000.0
09988.HK,阿里巴巴-W,1783284000000.0
09987.HK,百胜中国,110297000000.0
09985.HK,卫龙美味,17480000000.0
09973.HK,奇瑞汽车,141381000000.0
09969.HK,诺诚健华,20957000000.0
09961.HK,携程集团-S,223079000000.0
09927.HK,赛力斯,80062000000.0
09926.HK,康方生物,81107000000.0
09911.HK,赤子城科技,10631000000.0
09903.HK,天数智芯,194299000000.0
09901.HK,新东方-S,61907000000.00001
09899.HK,网易云音乐,21643000000.0
09898.HK,微博-SW,13881000000.0
09896.HK,名创优品,29215000000.0
09890.HK,贪玩,5339000000.0
09888.HK,百度集团-W,306149000000.0
09887.HK,维立志博-B,9809000000.0
09880.HK,优必选,51750000000.0
09868.HK,小鹏集团-W,97050000000.0
09866.HK,蔚来-SW,97962000000.0
09863.HK,零跑汽车,49024000000.0
09858.HK,优然牧业,12441000000.0
09699.HK,顺丰同城,6697000000.0
09698.HK,万国数据-SW,45269000000.0
09690.HK,途虎-W,10512000000.0
09688.HK,再鼎医药,16453000000.0
09678.HK,云知声,5336000000.0
09660.HK,地平线机器人-W,59779999999.99999
09658.HK,特海国际,5963000000.0
09636.HK,九方智投控股,14332000000.0
09633.HK,农夫山泉,445585000000.00006
09626.HK,哔哩哔哩-W,55977000000.0
09618.HK,京东集团-SW,277629000000.0
09606.HK,映恩生物-B,16466999999.999998
07618.HK,京东工业,30290000000.0
06993.HK,蓝月亮集团,17240000000.0
06990.HK,科伦博泰生物,101716000000.0
06979.HK,珍酒李渡,24771000000.0
06969.HK,思摩尔国际,43493000000.0
06963.HK,阳光保险,39105000000.0
06955.HK,博安生物,2913000000.0
06886.HK,HTSC,150749000000.0
06881.HK,中国银河,80477000000.0
06869.HK,长飞光纤光缆,211447000000.0
06862.HK,海底捞,59196000000.0
06855.HK,亚盛医药,12402000000.0
06823.HK,香港电讯-SS,88411000000.0
06818.HK,中国光大银行,173121000000.0
06808.HK,高鑫零售,8873000000.0
06699.HK,时代天使,11330000000.0
06690.HK,海尔智家,187365000000.0
06687.HK,聚水潭,5994000000.0
06683.HK,巨星传奇,3978000000.0
06682.HK,范式智能,13332000000.0
06681.HK,脑动极光-B,2187000000.0
06666.HK,恒大物业,8323999999.999999
06655.HK,华新建材,23992000000.0
06651.HK,五一视界,37488000000.0
06618.HK,京东健康,105452000000.0
06603.HK,IFBH,1555000000.0
06600.HK,卧安机器人,12811000000.000002
06186.HK,中国飞鹤,25388000000.0
06181.HK,老铺黄金,61224000000.0
06168.HK,周六福,6733000000.0
06160.HK,百济神州,262658000000.0
06110.HK,滔搏,10790000000.0
06099.HK,招商证券,150189000000.0
06098.HK,碧桂园服务,15836000000.000002
06090.HK,不同集团,2648000000.0
06088.HK,FIT HON TENG,51929999999.99999
06082.HK,壁仞科技,149258000000.0
06078.HK,海吉亚医疗,5672000000.0
06069.HK,盛业,8125000000.0
06066.HK,中信建投证券,93391000000.0
06060.HK,众安在线,15163000000.0
06055.HK,中烟香港,13280000000.000002
06049.HK,保利物业,14254000000.0
06031.HK,三一重工,170475000000.0
06030.HK,中信证券,404008000000.0
03998.HK,波司登,50011000000.0
03996.HK,中国能源建设,49107000000.0
03993.HK,洛阳钼业,324766000000.0
03988.HK,中国银行,1607840000000.0
03969.HK,中国通号,33887000000.0
03968.HK,招商银行,1132875000000.0
03939.HK,万国黄金集团,34429000000.0
03933.HK,联邦制药,16633000000.000002
03931.HK,中创新航,41543000000.0
03918.HK,金界控股,15613000000.0
03908.HK,中金公司,101372000000.0
03900.HK,绿城中国,17168000000.0
03899.HK,中集安瑞科,15182000000.0
03898.HK,时代电气,53989000000.0
03896.HK,金山云,21027000000.0
03888.HK,金山软件,30649000000.0
03887.HK,HASHKEY HLDGS,5145000000.0
03881.HK,希迪智驾,8898000000.0
03877.HK,中国船舶租赁,13397000000.0
03868.HK,信义能源,7583000000.0
03858.HK,佳鑫国际资源,26043000000.0
03808.HK,中国重汽,106408999999.99998
03800.HK,协鑫科技,22919000000.0
03750.HK,宁德时代,3247892000000.0
03738.HK,阜博集团,5967000000.0
03698.HK,徽商银行,60004000000.0
03696.HK,英矽智能,22679000000.0
03692.HK,翰森制药,179620000000.0
03690.HK,美团-W,422971000000.0
03677.HK,正力新能,13947000000.0
03668.HK,兖煤澳大利亚,38953000000.0
03660.HK,奇富科技-S,15287000000.0
03633.HK,中裕能源,7063000000.0
03618.HK,重庆农村商业银行,65642999999.99999
03613.HK,同仁堂国药,5416000000.0
03606.HK,福耀玻璃,133619000000.0
03396.HK,联想控股,33199000000.0
03393.HK,威胜控股,20750000000.0
03380.HK,龙光集团,8244000000.0
03360.HK,远东宏信,25772000000.000004
03339.HK,中国龙工,11128000000.0
03330.HK,灵宝黄金,16954000000.0
03328.HK,交通银行,595572000000.0
03323.HK,中国建材,40547000000.0
03320.HK,华润医药,26638000000.0
03317.HK,迅策,39304000000.0
03311.HK,中国建筑国际,36817000000.0
03306.HK,江南布衣,9183000000.0
03288.HK,海天味业,174853000000.0
02899.HK,紫金矿业,728586000000.0
02889.HK,博泰车联,18609000000.0
02888.HK,渣打集团,464050000000.0
02883.HK,中海油田服务,29822000000.000004
02877.HK,神威药业,6103000000.0
02869.HK,绿城服务,12364000000.0
02858.HK,易鑫集团,8506999999.999999
02799.HK,中信金融资产,44136000000.0
02788.HK,创新实业,28511000000.0
02778.HK,冠君产业信托,12675000000.0
02727.HK,上海电气,52526000000.0
