as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,00700.HK,腾讯控股,3907843000000.0,HSCI.HK,2004-09-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,13826103005.866667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00005.HK,汇丰控股,2541449000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2182605817.6,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01398.HK,工商银行,2291692000000.0,HSCI.HK,2007-03-12,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1428574231.4666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00939.HK,建设银行,2111115000000.0,HSCI.HK,2006-03-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2219217393.0666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01288.HK,农业银行,1868909000000.0,HSCI.HK,2011-03-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,555202179.7333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09988.HK,阿里巴巴-W,1783284000000.0,HSCI.HK,2019-12-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,10880658257.066668,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00941.HK,中国移动,1650887000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1679802051.7333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03988.HK,中国银行,1607840000000.0,HSCI.HK,2006-09-11,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1211073999.4666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00857.HK,中国石油股份,1552018000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1344796369.0666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03968.HK,招商银行,1132875000000.0,HSCI.HK,2007-03-12,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,747475974.4,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00883.HK,中国海洋石油,965809000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2816175878.4,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02318.HK,中国平安,924395000000.0,HSCI.HK,2004-09-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2246301134.9333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01088.HK,中国神华,870179999999.9999,HSCI.HK,2005-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,668388712.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00981.HK,中芯国际,765336000000.0,HSCI.HK,2004-09-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,9303836691.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02628.HK,中国人寿,753537000000.0,HSCI.HK,2004-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1477568194.1333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01299.HK,友邦保险,739268000000.0,HSCI.HK,2010-11-12,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2917811159.4666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02899.HK,紫金矿业,728586000000.0,HSCI.HK,2004-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2172295586.133333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01211.HK,比亚迪股份,660541000000.0,HSCI.HK,2009-09-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2656106717.866667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09999.HK,网易,651640000000.0,HSCI.HK,2020-06-26,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1320726909.8666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03328.HK,交通银行,595572000000.0,HSCI.HK,2005-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,212332341.86666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01810.HK,小米集团-W,557995000000.0,HSCI.HK,2018-07-23,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,4495566216.533334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01658.HK,邮储银行,548834000000.0,HSCI.HK,2016-10-13,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,180364498.33333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00386.HK,中国石油化工股份,483702000000.00006,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,576544453.6,True,True,True,True,2026-07-01,True,True,True
