windcode,name,mktcap_hkd_yi
00005.HK,汇丰控股,28296.9755
03750.HK,宁德时代,26002.4497
09988.HK,阿里巴巴-W,21774.0629
03988.HK,中国银行,18929.9792
00941.HK,中国移动,17114.1498
03968.HK,招商银行,13089.0999
01088.HK,中国神华,9894.7199
02899.HK,紫金矿业,9827.9281
02628.HK,中国人寿,8372.0056
00300.HK,美的集团,7503.2317
03328.HK,交通银行,6945.3934
01810.HK,小米集团-W,6934.3935
00945.HK,宏利金融-S,5719.329
00981.HK,中芯国际,5595.3874
02388.HK,中银香港,5460.841
02888.HK,渣打集团,5224.0867
00388.HK,香港交易所,5096.7043
00998.HK,中信银行,4660.2823
09633.HK,农夫山泉,4622.2977
02259.HK,紫金黄金国际,4282.1429
00728.HK,中国电信,4191.027
00267.HK,中信股份,3933.0035
03993.HK,洛阳钼业,3767.538
02328.HK,中国财险,3759.0273
00016.HK,新鸿基地产,3471.5408
03986.HK,兆易创新,3418.4852
06809.HK,澜起科技,3368.6849
00001.HK,长和,2656.1359
01339.HK,中国人民保险集团,2609.2154
01919.HK,中远海控,2526.8744
09961.HK,携程集团-S,2320.9984
02714.HK,牧原股份,2281.4881
03692.HK,翰森制药,2187.9453
01109.HK,华润置地,2170.658
02020.HK,安踏体育,2124.0582
09992.HK,泡泡玛特,2073.5802
00066.HK,港铁公司,2051.7017
02476.HK,胜宏科技,2032.399
06690.HK,海尔智家,1974.1153
01347.HK,华虹宏力,1928.8763
06031.HK,三一重工,1825.2084
00762.HK,中国联通,1754.8024
00625.HK,希音-W,1718.0136
06818.HK,中国光大银行,1680.9839
01113.HK,长实集团,1645.5958
06936.HK,顺丰控股,1631.1924
06886.HK,华泰证券,1577.8958
01988.HK,民生银行,1560.8432
02600.HK,中国铝业,1549.0939
01898.HK,中煤能源,1512.8135
01336.HK,新华保险,1489.8955
00027.HK,银河娱乐,1476.68
00019.HK,太古股份公司A,1452.6301
09973.HK,奇瑞汽车,1452.1511
03606.HK,福耀玻璃,1449.7125
01888.HK,建滔积层板,1443.9944
01024.HK,快手-W,1429.6285
00688.HK,中国海外发展,1423.9293
01776.HK,广发证券,1401.4298
00003.HK,香港中华煤气,1362.1705
01171.HK,兖矿能源,1346.9455
00358.HK,江西铜业股份,1329.6881
06099.HK,招商证券,1300.1308
00012.HK,恒基地产,1290.7138
01208.HK,五矿资源,1235.8258
06613.HK,蓝思科技,1224.6679
01308.HK,海丰国际,1219.1031
01787.HK,山东黄金,1170.0001
06990.HK,科伦博泰生物,1166.437
00100.HK,MINIMAX-W,1156.6673
01928.HK,金沙中国有限公司,1135.5012
03296.HK,华勤技术,1105.0204
01177.HK,中国生物制药,1092.0186
01093.HK,石药集团,1085.415
09976.HK,江波龙,1073.7602
02015.HK,理想汽车-W,1067.0502
02099.HK,中国黄金国际,1054.4606
00087.HK,太古股份公司B,1048.6722
01880.HK,中国中免,1034.7427
01913.HK,普拉达,1026.0884
01698.HK,腾讯音乐-SW,1021.7788
00316.HK,东方海外国际,1011.0315
00083.HK,信和置业,1003.669
01138.HK,中远海能,984.2714
00836.HK,华润电力,978.4639
03908.HK,中金公司,958.6932
01997.HK,九龙仓置业,952.7681
00288.HK,万洲国际,952.6438
06823.HK,香港电讯-SS,940.2174
01519.HK,极兔速递-W,931.5017
01209.HK,华润万象生活,931.26
09903.HK,天数智芯,913.0407
06066.HK,中信建投证券,912.963
00501.HK,豪威集团,901.8413
00293.HK,国泰航空,881.7636
06881.HK,中国银河,836.4818
00390.HK,中国中铁,829.1583
01768.HK,鸣鸣很忙,819.9415
09868.HK,小鹏集团-W,812.0603
01876.HK,百威亚太,809.8337
01818.HK,招金矿业,783.5774
00753.HK,中国国航,781.7912
06656.HK,思格新能,779.3447
06693.HK,赤峰黄金,771.947
00966.HK,中国太平,767.6824
00668.HK,安克创新,753.8857
09980.HK,东鹏饮料,746.6807
02382.HK,舜宇光学科技,736.8036
03618.HK,重庆农村商业银行,726.848
02319.HK,蒙牛乳业,716.1706
09866.HK,蔚来-SW,715.4225
00144.HK,招商局港口,695.6101
01072.HK,东方电气,694.4388
00522.HK,ASMPT,676.9249
01258.HK,中国有色矿业,670.3698
02333.HK,长城汽车,654.9662
09927.HK,赛力斯,653.2444
02076.HK,BOSS直聘-W,636.2322
06806.HK,申万宏源,631.0066
00291.HK,华润啤酒,626.4506
01186.HK,中国铁建,605.6476
06969.HK,思摩尔国际,604.7477
01989.HK,广合科技,596.1048
09696.HK,天齐锂业,595.4754
02688.HK,新奥能源,581.7654
00004.HK,九龙仓集团,581.2564
00148.HK,建滔集团,571.5478
06228.HK,自由黄金-DRS,568.3276
00168.HK,青岛啤酒股份,565.5953
01055.HK,中国南方航空股份,557.2198
02313.HK,申洲国际,546.271
02799.HK,中信金融资产,525.6157
03998.HK,波司登,525.2829
01157.HK,中联重科,521.0742
00991.HK,大唐发电,503.3825
00177.HK,江苏宁沪高速公路,502.0115
02018.HK,瑞声科技,490.1865
06198.HK,青岛港,488.7798
03668.HK,兖煤澳大利亚,478.2632
00916.HK,龙源电力,453.938
00486.HK,俄铝,451.2325
03311.HK,中国建筑国际,449.5166
06166.HK,剑桥科技,445.2147
02726.HK,瀚天天成,440.4803
00247.HK,TST PROPERTIES,435.1909
06880.HK,MOMENTA-W,432.6833
02607.HK,上海医药,427.945
09880.HK,优必选,425.8776
00008.HK,电讯盈科,416.8296
00868.HK,信义玻璃,403.1171
03317.HK,迅策,395.9879
02208.HK,金风科技,387.1102
02526.HK,德适-B,385.7357
06088.HK,鸿腾精密,384.907
00576.HK,浙江沪杭甬,371.3441
00659.HK,周大福创建,368.7253
02331.HK,李宁,367.819
00101.HK,恒隆地产,367.5978
02883.HK,中海油田服务,365.0268
02696.HK,复宏汉霖,359.3414
03347.HK,泰格医药,358.0146
07618.HK,京东工业,355.6598
02380.HK,中国电力,351.3123
01359.HK,中国信达,347.2973
06178.HK,光大证券,341.6594
03888.HK,金山软件,340.0365
03360.HK,远东宏信,339.9718
01133.HK,哈尔滨电气,339.0194
00598.HK,中国外运,333.9381
03969.HK,中国通号,333.5793
00631.HK,三一国际,329.301
03330.HK,灵宝黄金,325.4872
00220.HK,统一企业中国,321.5744
00384.HK,中国燃气,312.9964
02631.HK,天岳先进,310.3982
01963.HK,重庆银行,308.5545
00921.HK,海信家电,308.5471
01128.HK,永利澳门,305.5996
02689.HK,玖龙纸业,300.7714
02096.HK,先声药业,298.6815
00425.HK,敏实集团,296.3792
03696.HK,英矽智能,296.2949
01908.HK,建发国际集团,294.1234
01879.HK,曦智科技-P,293.0205
02202.HK,万科企业,292.8989
00268.HK,金蝶国际,286.4356
02367.HK,巨子生物,284.9614
03320.HK,华润医药,282.0847
01797.HK,东方甄选,280.5426
02245.HK,力勤资源,278.0449
02315.HK,百奥赛图-B,275.9598
01788.HK,国泰君安国际,274.9389
00867.HK,康哲药业,269.3239
06979.HK,珍酒李渡,264.3126
03323.HK,中国建材,261.9592
02579.HK,中伟新材,257.1476
00696.HK,中国民航信息网络,256.0433
02676.HK,纳芯微,253.7601
01044.HK,恒安国际,250.7857
03858.HK,佳鑫国际资源,250.1793
06186.HK,中国飞鹤,247.0826
01318.HK,毛戈平,247.0542
00136.HK,中国儒意,246.969
03896.HK,金山云,245.6227
02026.HK,小马智行-W,241.534
00525.HK,广深铁路股份,239.9312
02357.HK,中航科工,237.9897
02162.HK,康诺亚-B,237.4948
02419.HK,德康农牧,236.0475
02510.HK,德翔海运,231.2728
00189.HK,东岳集团,228.8912
02525.HK,禾赛-W,228.0448
06067.HK,星源材质,226.7466
06993.HK,蓝月亮集团,224.3015
00551.HK,裕元集团,220.4661
02252.HK,微创机器人-B,218.4358
