windcode,name,index
00001.HK,长和,HSI
00002.HK,中电控股,HSI
00003.HK,香港中华煤气,HSI
00005.HK,汇丰控股,HSI
00006.HK,电能实业,HSI
00012.HK,恒基地产,HSI
00016.HK,新鸿基地产,HSI
00027.HK,银河娱乐,HSI
00066.HK,港铁公司,HSI
00101.HK,恒隆地产,HSI
00175.HK,吉利汽车,HSI
00241.HK,阿里健康,HSI
00267.HK,中信股份,HSI
00285.HK,比亚迪电子,HSI
00288.HK,万洲国际,HSI
00291.HK,华润啤酒,HSI
00300.HK,美的集团,HSI
00316.HK,东方海外国际,HSI
00322.HK,康师傅控股,HSI
00386.HK,中国石油化工股份,HSI
00388.HK,香港交易所,HSI
00669.HK,创科实业,HSI
00688.HK,中国海外发展,HSI
00700.HK,腾讯控股,HSI
00728.HK,中国电信,HSI
00762.HK,中国联通,HSI
00823.HK,领展房产基金,HSI
00836.HK,华润电力,HSI
00857.HK,中国石油股份,HSI
00868.HK,信义玻璃,HSI
00883.HK,中国海洋石油,HSI
00939.HK,建设银行,HSI
00941.HK,中国移动,HSI
00960.HK,龙湖集团,HSI
00968.HK,信义光能,HSI
00981.HK,中芯国际,HSI
00992.HK,联想集团,HSI
01024.HK,快手-W,HSI
01038.HK,长江基建集团,HSI
01044.HK,恒安国际,HSI
01088.HK,中国神华,HSI
01093.HK,石药集团,HSI
01099.HK,国药控股,HSI
01109.HK,华润置地,HSI
01113.HK,长实集团,HSI
01177.HK,中国生物制药,HSI
01209.HK,华润万象生活,HSI
01211.HK,比亚迪股份,HSI
01299.HK,友邦保险,HSI
01347.HK,华虹宏力,HSI
01378.HK,中国宏桥,HSI
01398.HK,工商银行,HSI
01519.HK,极兔速递-W,HSI
01801.HK,信达生物,HSI
01810.HK,小米集团-W,HSI
01876.HK,百威亚太,HSI
01928.HK,金沙中国有限公司,HSI
01929.HK,周大福,HSI
01997.HK,九龙仓置业,HSI
02015.HK,理想汽车-W,HSI
02020.HK,安踏体育,HSI
02057.HK,中通快递-W,HSI
02269.HK,药明生物,HSI
02313.HK,申洲国际,HSI
02318.HK,中国平安,HSI
02319.HK,蒙牛乳业,HSI
02331.HK,李宁,HSI
02338.HK,潍柴动力,HSI
02359.HK,药明康德,HSI
02382.HK,舜宇光学科技,HSI
02388.HK,中银香港,HSI
02600.HK,中国铝业,HSI
02618.HK,京东物流,HSI
02628.HK,中国人寿,HSI
02688.HK,新奥能源,HSI
02899.HK,紫金矿业,HSI
03690.HK,美团-W,HSI
03692.HK,翰森制药,HSI
03750.HK,宁德时代,HSI
03968.HK,招商银行,HSI
03988.HK,中国银行,HSI
03993.HK,洛阳钼业,HSI
06160.HK,百济神州,HSI
06181.HK,老铺黄金,HSI
06618.HK,京东健康,HSI
06690.HK,海尔智家,HSI
06862.HK,海底捞,HSI
09618.HK,京东集团-SW,HSI
09633.HK,农夫山泉,HSI
09888.HK,百度集团-W,HSI
09901.HK,新东方-S,HSI
09961.HK,携程集团-S,HSI
09988.HK,阿里巴巴-W,HSI
09992.HK,泡泡玛特,HSI
09999.HK,网易,HSI
