feature,gain,gain_share
return_1,348.2659216,0.01023591379
history_sessions,583.461199,0.01714855851
momentum_5,259.0136702,0.007612693161
momentum_20,227.920089,0.006698819029
momentum_60,827.6979363,0.02432694156
momentum_120,543.1434608,0.01596357638
momentum_252,586.4812102,0.01723731992
momentum_252_skip20,282.9238286,0.008315438692
volatility_20,628.0140352,0.01845801477
volatility_60,1413.302704,0.04153850188
volatility_252,2656.995975,0.07809199828
downside_volatility_60,405.3144112,0.01191263088
max_return_20,237.3058405,0.006974676462
return_skew_60,292.6534307,0.008601402268
near_high_252,2534.031597,0.07447794162
near_low_252,5581.442272,0.1640446521
bias_20,1231.357678,0.0361909399
bias_60,5380.517128,0.1581392438
log_amount_20,1136.748304,0.03341026761
amount_ratio_20_120,505.9127328,0.01486932484
amount_cv_20,204.869091,0.006021325156
volume_cv_20,113.2161901,0.003327546825
amihud_20,768.9396076,0.02259997045
intraday_range,91.14079881,0.002678727093
intraday_return,151.6293321,0.0044565508
log_market_cap,1030.28525,0.03028120281
log_free_market_cap,643.5268688,0.0189139538
free_share_ratio,76.16645956,0.002238614994
turnover_20,746.4247575,0.02193823454
share_change_60,401.9187386,0.01181282837
share_change_252,241.9074006,0.007109921313
sessions_since_quote,351.456779,0.01032969656
market_momentum_20,461.8961418,0.01357562941
market_momentum_60,578.6697428,0.01700773241
market_momentum_252,791.1171391,0.02325179219
market_volatility_60,780.7781613,0.0229479184
market_breadth_60,927.4750538,0.02725949944
log_horizon,0,0
