position_id,name,security_id,entry_date,exit_date,cost,proceeds,net_return
1,NIU HOLDINGS,08619.HK,2024-02-01,2024-03-04,11299.97106,4530.611789,-0.5990598767
2,CARSGEN-B,02171.HK,2024-02-01,2024-03-01,31666.66667,51124.45602,0.6144565058
3,FUTURE MACH LTD,01401.HK,2024-02-01,2024-03-01,12031.604,12327.8935,0.02462593516
4,SANERGY GROUP,02459.HK,2024-02-01,2024-03-05,31666.66667,28646.05151,-0.09538784698
5,MEDBOT-B,02252.HK,2024-02-01,2024-03-01,31666.66667,41610.76317,0.3140241001
6,ZO FUTURE GROUP,02309.HK,2024-02-01,2024-03-01,31666.66667,31760.12761,0.0029513981
7,UBOX ONLINE,02429.HK,2024-02-01,2024-03-01,31666.66667,27687.76024,-0.1256496767
8,REMEGEN,09995.HK,2024-02-01,2024-03-01,31666.66667,41327.46918,0.3050779741
9,JINHAI MED TECH,02225.HK,2024-02-01,2024-03-01,12226.74063,13603.53094,0.1126048515
10,MONGOL MINING,00975.HK,2024-02-01,2024-03-01,31666.66667,48642.50664,0.5360791569
11,KEEP,03650.HK,2024-02-01,2024-03-01,31666.66667,27577.69683,-0.1291253632
12,BRIGHTSTAR TECH,08446.HK,2024-02-01,2024-03-01,18741.7375,12432.175,-0.3366583541
13,LAEKNA-B,02105.HK,2024-02-01,2024-03-01,31666.66667,55121.29315,0.7406724153
14,ALPHAMAB-B,09966.HK,2024-02-01,2024-03-01,31666.66667,37918.592,0.1974292211
15,UNI-BIO GROUP,00690.HK,2024-02-01,2024-03-06,10923.02186,9851.360283,-0.09811035696
16,CHINA WANTIAN,01854.HK,2024-02-01,2024-03-01,31666.66667,32193.70053,0.01664317467
17,VICON HOLDINGS,03878.HK,2024-02-01,2024-03-12,12457.24821,13792.6666,0.1072001107
18,STAR CM,06698.HK,2024-02-01,2024-03-01,31666.66667,29854.83801,-0.05721564192
19,CHINA QINFA,00866.HK,2024-02-01,2024-03-01,14543.40329,21176.87943,0.456115808
20,DIGITAL DOMAIN,00547.HK,2024-02-01,2024-03-06,31666.66667,28499.22617,-0.1000244367
21,XPENG-W,09868.HK,2024-02-01,2024-03-01,31666.66667,37320.55152,0.1785437321
22,ARCHOSAUR GAMES,09990.HK,2024-02-01,2024-03-04,11156.4215,12572.2592,0.1269078711
23,WUXI BIO,02269.HK,2024-02-01,2024-03-01,31666.66667,28007.75838,-0.1155444722
24,TANWAN,09890.HK,2024-02-01,2024-03-01,31666.66667,13165.82835,-0.5842369996
25,ENVISION GREEN,01783.HK,2024-02-01,2024-03-01,19592.00788,30961.52279,0.5803139211
26,PA GOODDOCTOR,01833.HK,2024-02-01,2024-03-01,31666.66667,33941.17937,0.07182671687
27,PLATT NERA,01949.HK,2024-02-01,2024-03-14,15052.6578,16825.74388,0.1177922267
28,CHINA HONGBAO,08316.HK,2024-02-01,2024-03-01,1975.0453,1671.428482,-0.1537265085
29,CGN MINING,01164.HK,2024-02-01,2024-03-01,31666.66667,29258.10474,-0.07605985037
30,RUIHE DATA,03680.HK,2024-02-01,2024-03-01,6281.665,7790.910528,0.240262021
