rank,name,date,security_id,score,adv20_amount
1,NIU HOLDINGS,2024-01-31,08619.HK,0.6750983843,1127179.158
2,CARSGEN-B,2024-01-31,02171.HK,0.5414398146,6147327.086
3,FUTURE MACH LTD,2024-01-31,01401.HK,0.5334105237,1858623
4,SANERGY GROUP,2024-01-31,02459.HK,0.464322083,7299535.749
5,MEDBOT-B,2024-01-31,02252.HK,0.438677889,18356185.59
6,ZO FUTURE GROUP,2024-01-31,02309.HK,0.4156859113,5680670.198
7,UBOX ONLINE,2024-01-31,02429.HK,0.4138744973,6899043.675
8,REMEGEN,2024-01-31,09995.HK,0.3973515348,81541525.22
9,JINHAI MED TECH,2024-01-31,02225.HK,0.3879134608,1219625
10,MONGOL MINING,2024-01-31,00975.HK,0.3709121482,58961418.62
11,KEEP,2024-01-31,03650.HK,0.3626243659,38402198.82
12,BRIGHTSTAR TECH,2024-01-31,08446.HK,0.3463906921,4574679
13,LAEKNA-B,2024-01-31,02105.HK,0.3072864991,11417651.4
14,ALPHAMAB-B,2024-01-31,09966.HK,0.3045630328,23958215.04
15,UNI-BIO GROUP,2024-01-31,00690.HK,0.2932123202,1089578.24
16,CHINA WANTIAN,2024-01-31,01854.HK,0.2909050104,8298432
17,VICON HOLDINGS,2024-01-31,03878.HK,0.2806858112,1242618.275
18,STAR CM,2024-01-31,06698.HK,0.2772138346,29815925.51
19,CHINA QINFA,2024-01-31,00866.HK,0.2731370478,1450713.545
20,DIGITAL DOMAIN,2024-01-31,00547.HK,0.2680811653,7538601.54
21,XPENG-W,2024-01-31,09868.HK,0.2565069718,615039248.4
22,ARCHOSAUR GAMES,2024-01-31,09990.HK,0.2485398172,2498689.36
23,WUXI BIO,2024-01-31,02269.HK,0.2465434386,1589399615
24,TANWAN,2024-01-31,09890.HK,0.237769357,50567080.87
25,ENVISION GREEN,2024-01-31,01783.HK,0.2302948927,1954315
26,PA GOODDOCTOR,2024-01-31,01833.HK,0.2213544154,74502310.86
27,PLATT NERA,2024-01-31,01949.HK,0.2177401005,11957498.25
28,CHINA HONGBAO,2024-01-31,08316.HK,0.2133794968,1120494.8
29,CGN MINING,2024-01-31,01164.HK,0.2130730699,70056797.67
30,RUIHE DATA,2024-01-31,03680.HK,0.2060159922,2304218.5
