date,name,security_id,position_id,side,adjusted_units,adjusted_price,notional_hkd,fee_hkd,cohort_cash_after
2024-02-01,NIU HOLDINGS,08619.HK,1,buy,4885.528685,2.30717949,11271.79158,28.17947895,988700.0289
2024-02-01,CARSGEN-B,02171.HK,2,buy,7742.082702,4.08,31587.69742,78.96924356,957033.3623
2024-02-01,FUTURE MACH LTD,01401.HK,3,buy,9433.4865,1.27223376,12001.6,30.004,945001.7583
2024-02-01,SANERGY GROUP,02459.HK,4,buy,975.7346186,32.3732466,31587.69742,78.96924356,913335.0916
2024-02-01,MEDBOT-B,02252.HK,5,buy,3014.093266,10.48,31587.69742,78.96924356,881668.4249
2024-02-01,ZO FUTURE GROUP,02309.HK,6,buy,8400.983357,3.76,31587.69742,78.96924356,850001.7583
2024-02-01,UBOX ONLINE,02429.HK,7,buy,1429.307576,22.1,31587.69742,78.96924356,818335.0916
2024-02-01,REMEGEN,09995.HK,8,buy,1853.738112,17.04,31587.69742,78.96924356,786668.4249
2024-02-01,JINHAI MED TECH,02225.HK,9,buy,14783.33333,0.825,12196.25,30.490625,774441.6843
2024-02-01,MONGOL MINING,00975.HK,10,buy,3639.135648,8.68,31587.69742,78.96924356,742775.0177
2024-02-01,KEEP,03650.HK,11,buy,6062.897778,5.21,31587.69742,78.96924356,711108.351
2024-02-01,BRIGHTSTAR TECH,08446.HK,12,buy,2492.666667,7.5,18695,46.7375,692366.6135
2024-02-01,LAEKNA-B,02105.HK,13,buy,7611.493355,4.15,31587.69742,78.96924356,660699.9468
2024-02-01,ALPHAMAB-B,09966.HK,14,buy,7742.082702,4.08,31587.69742,78.96924356,629033.2802
2024-02-01,UNI-BIO GROUP,00690.HK,15,buy,124396.2807,0.087589294,10895.7824,27.239456,618110.2583
2024-02-01,CHINA WANTIAN,01854.HK,16,buy,22889.63581,1.38,31587.69742,78.96924356,586443.5916
2024-02-01,VICON HOLDINGS,03878.HK,17,buy,62443.12941,0.199,12426.18275,31.06545688,573986.3434
2024-02-01,STAR CM,06698.HK,18,buy,4251.372466,7.43,31587.69742,78.96924356,542319.6768
2024-02-01,CHINA QINFA,00866.HK,19,buy,36382.31558,0.3987414,14507.13545,36.26783863,527776.2735
2024-02-01,DIGITAL DOMAIN,00547.HK,20,buy,71790.22142,0.44,31587.69742,78.96924356,496109.6068
2024-02-01,XPENG-W,09868.HK,21,buy,963.0395556,32.8,31587.69742,78.96924356,464442.9401
2024-02-01,ARCHOSAUR GAMES,09990.HK,22,buy,8832.222222,1.26,11128.6,27.8215,453286.5186
2024-02-01,WUXI BIO,02269.HK,23,buy,1493.508152,21.15,31587.69742,78.96924356,421619.852
2024-02-01,TANWAN,09890.HK,24,buy,447.4178105,70.6,31587.69742,78.96924356,389953.1853
2024-02-01,ENVISION GREEN,01783.HK,25,buy,19205.77596,1.01756628,19543.15,48.857875,370361.1774
2024-02-01,PA GOODDOCTOR,01833.HK,26,buy,7966.959105,3.9648374,31587.69742,78.96924356,338694.5108
2024-02-01,PLATT NERA,01949.HK,27,buy,10920.08727,1.375,15015.12,37.5378,323641.853
2024-02-01,CHINA HONGBAO,08316.HK,28,buy,10155.25773,0.194,1970.12,4.9253,321666.8077
2024-02-01,CGN MINING,01164.HK,29,buy,16281.92212,1.9400472,31587.69742,78.96924356,290000.141
2024-02-01,RUIHE DATA,03680.HK,30,buy,4412.676056,1.42,6266,15.665,283718.476
2024-03-01,DIGITAL DOMAIN,00547.HK,20,sell,16928.39506,0.405,6856,17.14,290557.336
2024-03-01,UNI-BIO GROUP,00690.HK,15,sell,29769.80587,0.080134886,2385.6,5.964,292936.972
2024-03-01,CHINA QINFA,00866.HK,19,sell,36382.31558,0.583524,21229.95432,53.0748858,314113.8514
2024-03-01,MONGOL MINING,00975.HK,10,sell,3639.135648,13.4,48764.41768,121.9110442,362756.3581
2024-03-01,CGN MINING,01164.HK,29,sell,16281.92212,1.8014724,29331.43332,73.3285833,392014.4628
2024-03-01,FUTURE MACH LTD,01401.HK,3,sell,9433.4865,1.31009786,12358.79048,30.89697619,404342.3563
2024-03-01,ENVISION GREEN,01783.HK,25,sell,19205.77596,1.61613468,31039.12059,77.59780147,435303.8791
2024-03-01,PA GOODDOCTOR,01833.HK,26,sell,7966.959105,4.27092,34026.24498,85.06561245,469245.0584
2024-03-01,CHINA WANTIAN,01854.HK,16,sell,22889.63581,1.41,32274.3865,80.68596624,501438.759
2024-03-01,PLATT NERA,01949.HK,27,sell,1019.174603,1.575,1605.2,4.013,503039.946
2024-03-01,LAEKNA-B,02105.HK,13,sell,7611.493355,7.26,55259.44176,138.1486044,558161.2391
2024-03-01,CARSGEN-B,02171.HK,2,sell,7742.082702,6.62,51252.58749,128.1314687,609285.6951
2024-03-01,JINHAI MED TECH,02225.HK,9,sell,14783.33333,0.9225,13637.625,34.0940625,622889.2261
2024-03-01,MEDBOT-B,02252.HK,5,sell,3014.093266,13.84,41715.0508,104.287627,664499.9893
2024-03-01,WUXI BIO,02269.HK,23,sell,1493.508152,18.8,28077.95326,70.19488316,692507.7476
2024-03-01,ZO FUTURE GROUP,02309.HK,6,sell,8400.983357,3.79,31839.72692,79.59931731,724267.8752
2024-03-01,UBOX ONLINE,02429.HK,7,sell,1429.307576,19.42,27757.15312,69.3928828,751955.6355
