date,factor,linear,lightgbm_small,lightgbm_large,HSI,HKTECH
2024-02-01,0.9976555849,0.9989448191,0.9982137618,0.9981806973,1,1
2024-02-02,1.001019203,0.9831522948,0.9499553063,0.9583733012,0.9979025081,0.9928081019
2024-02-05,0.9922001719,0.9665966718,0.9311861481,0.9418539496,0.9963896157,0.9911577162
2024-02-06,1.006528777,0.9709230647,0.9512719621,0.9622994159,1.036660176,1.058011383
2024-02-07,1.010418208,0.9743869339,0.9657522755,0.9800418094,1.033128167,1.040682333
2024-02-08,1.008772976,0.9728350621,0.9736423216,0.983854435,1.020034421,1.033464342
2024-02-09,0.9998412528,0.9756243246,0.9571039621,0.9722647042,1.011587278,1.019984018
2024-02-14,0.9963815366,0.9765498927,0.9545159887,0.971494075,1.020118577,1.043027447
2024-02-15,0.9978347833,0.9782836896,0.9486475844,0.9676856104,1.024310349,1.051256544
2024-02-16,1.011876736,0.9887099033,0.9984413328,1.01820366,1.049707026,1.090275445
2024-02-19,1.010173755,0.9828587952,1.002145849,1.013526951,1.037864066,1.061038177
2024-02-20,1.022004943,0.9784117681,1.004285508,1.023265212,1.043767879,1.064727083
2024-02-21,1.032193518,0.9820967081,1.018162855,1.039425921,1.060187419,1.09304457
2024-02-22,1.044589403,0.987326165,1.043176711,1.062491376,1.075595794,1.112222965
2024-02-23,1.049978579,0.9938660486,1.047520369,1.066054729,1.074497903,1.108902624
2024-02-26,1.038966935,0.9975533144,1.05394543,1.076588225,1.068644198,1.106766255
2024-02-27,1.035857736,1.002074412,1.064470012,1.091817097,1.07866976,1.142605065
2024-02-28,1.033007961,0.9991104784,1.063341642,1.087199858,1.062355577,1.117634012
2024-02-29,1.031344102,1.003381575,1.079018411,1.100699031,1.060723195,1.119163718
2024-03-01,1.021260629,1.000551589,1.066089559,1.090062168,1.065734048,1.137699571
2024-03-04,1.022493059,1.008635388,1.076750742,1.097362919,1.066153547,1.133342031
2024-03-05,1.014607936,0.9982315706,1.068311391,1.088404956,1.038315685,1.084130531
2024-03-06,1.023457024,1.000561509,1.070344208,1.089425337,1.056011065,1.113054681
2024-03-07,1.026666862,0.9970926491,1.052530388,1.077127296,1.042628874,1.095693015
2024-03-08,1.032102073,1.000534003,1.066360651,1.084029414,1.050569792,1.104251537
2024-03-11,1.02927531,0.9987873517,1.066933503,1.091443319,1.065613916,1.135794778
2024-03-12,1.032948119,1.005161847,1.058325663,1.093463359,1.098115726,1.188509271
2024-03-13,1.033572724,1.004800179,1.057586359,1.086554294,1.097384013,1.192550433
2024-03-14,1.037504599,1.014064465,1.057332537,1.085939394,1.089646099,1.175436651
2024-03-15,1.026943047,1.006047645,1.046959893,1.074024397,1.074178622,1.157827101
2024-03-18,1.028417365,1.008321592,1.040165973,1.069434151,1.075221265,1.172302223
2024-03-19,1.023094676,1.002317355,1.027279564,1.049291817,1.061882115,1.150856994
2024-03-20,1.024035423,1.008844284,1.041608937,1.052276366,1.06275516,1.158342439
2024-03-21,1.035452767,1.01879707,1.067587293,1.070328139,1.083314436,1.168610056
2024-03-22,1.027406126,1.011682775,1.059124285,1.065034748,1.059954221,1.127180809
2024-03-25,1.02658118,1.017379476,1.078302201,1.074085681,1.058294858,1.12108808
2024-03-26,1.01930647,1.008126471,1.0879165,1.081260227,1.067589349,1.132272216
2024-03-27,1.013371258,1.004864402,1.068585867,1.068420969,1.053104127,1.106811918
2024-03-28,1.006944708,1.008819273,1.068905046,1.067502328,1.062649161,1.134248765
2024-04-02,1.021770294,1.00948863,1.057607783,1.058237167,1.087709854,1.155635284
2024-04-03,1.018058019,1.015057386,1.05509441,1.052803234,1.074449079,1.128808363
2024-04-05,1.016615086,1.011776254,1.046709356,1.050977267,1.074373274,1.125553254
2024-04-08,1.03124699,1.012216572,1.052740034,1.056678714,1.074946952,1.12350495
2024-04-09,1.038628079,1.003401538,1.059880167,1.061987698,1.081064048,1.134473817
2024-04-10,1.054414418,1.002399009,1.049197563,1.0493187,1.101049645,1.158534875
2024-04-11,1.054445864,0.999753141,1.052484319,1.05003186,1.098214016,1.154092532
2024-04-12,1.045491593,0.9997854318,1.057916942,1.056102132,1.074230015,1.133244182
2024-04-15,1.039885962,1.000387933,1.039560344,1.048420159,1.066441992,1.122813484
2024-04-16,1.026937997,0.9887270269,1.023829457,1.03150674,1.043861672,1.088683768
2024-04-17,1.03592832,0.9930493241,1.040548785,1.045946221,1.044046046,1.089456775
2024-04-18,1.040950433,0.9958509097,1.061841472,1.063779051,1.052656363,1.094871084
2024-04-19,1.04286486,0.996141274,1.049008508,1.048150054,1.04226655,1.069182472
2024-04-22,1.039629953,0.9923466032,1.04615476,1.050117504,1.060739255,1.088194524
2024-04-23,1.045069426,0.9884995791,1.048595483,1.05666669,1.081119296,1.124969422
2024-04-24,1.053171736,0.9901486487,1.057588212,1.061612045,1.105039056,1.165573476
2024-04-25,1.054778739,0.9935477289,1.054964937,1.059176726,1.110388463,1.159281789
2024-04-26,1.058019302,0.994463772,1.073791957,1.084445108,1.133940118,1.212762765
2024-04-29,1.059292546,0.9939604928,1.072081338,1.083798328,1.140091904,1.211148257
2024-04-30,1.066107098,0.9952486709,1.076008991,1.085489218,1.141127481,1.207022293
2024-05-02,1.060983875,0.9947012152,1.076103625,1.094238797,1.169657225,1.260777247
2024-05-03,1.069261773,0.9983464202,1.07012165,1.085953563,1.186924756,1.295288573
2024-05-06,1.08507942,1.00593402,1.076591808,1.095379369,1.193501822,1.307190267
2024-05-07,1.088561023,1.007232035,1.075654303,1.093135181,1.18714639,1.279388118
2024-05-08,1.087633114,1.017211713,1.086805041,1.104315961,1.176513744,1.262907092
2024-05-09,1.100414235,1.014992406,1.096046115,1.112919169,1.190900675,1.287499796
2024-05-10,1.126882451,1.020044059,1.100370744,1.112273686,1.218259294,1.292362889
2024-05-13,1.137778142,1.017862536,1.104996941,1.11485024,1.227984204,1.310748708
2024-05-14,1.138346635,1.017704988,1.108096866,1.116918461,1.225327809,1.318172182
2024-05-16,1.133634851,1.013403967,1.096393654,1.10242567,1.244781485,1.328185391
2024-05-17,1.133835372,1.023648571,1.103786958,1.109529258,1.256157408,1.34137543
2024-05-20,1.136412581,1.025612246,1.120182111,1.119636916,1.261464416,1.348808689
2024-05-21,1.128243477,1.031062444,1.120034762,1.120981758,1.23476556,1.298334937
2024-05-22,1.125983838,1.02569583,1.108998468,1.115021876,1.233158232,1.302235849
2024-05-23,1.116737738,1.023670754,1.103179732,1.109443165,1.212158258,1.270793718
2024-05-24,1.112786319,1.022786729,1.104723628,1.109468973,1.195470188,1.239247215
2024-05-27,1.127840068,1.029941008,1.120055931,1.124257662,1.209501221,1.260451084
2024-05-28,1.126941295,1.03393194,1.114229741,1.121270362,1.209103565,1.257218807
2024-05-29,1.112510386,1.035205457,1.115549489,1.124791731,1.186994779,1.22808265
2024-05-30,1.106045181,1.030285188,1.103897586,1.113413154,1.171138639,1.224012133
2024-05-31,1.103335454,1.041630572,1.122333602,1.133013699,1.161465122,1.203790016
2024-06-03,1.110135141,1.03852866,1.10288021,1.115104857,1.18224282,1.234214518
2024-06-04,1.120482917,1.042490038,1.118024799,1.128630863,1.184881227,1.238170877
2024-06-05,1.114353527,1.045259796,1.130611681,1.135813608,1.183650998,1.241941323
2024-06-06,1.114844572,1.046517043,1.135528671,1.141469014,1.186981288,1.252681877
2024-06-07,1.1166054,1.046559098,1.139467087,1.1431517,1.179924336,1.23044081
2024-06-11,1.103563879,1.03980575,1.149312665,1.150251721,1.167679223,1.224879727
2024-06-12,1.089918623,1.040064679,1.145840948,1.146029348,1.152357575,1.203959621
2024-06-13,1.097821062,1.041427929,1.149811917,1.145799857,1.163586384,1.219569791
2024-06-14,1.097011603,1.046423751,1.161551707,1.160269935,1.152610687,1.209289127
2024-06-17,1.101373357,1.043254139,1.154401564,1.157528975,1.152247079,1.20985339
2024-06-18,1.101051627,1.045088105,1.170069896,1.17597798,1.150925627,1.205893769
2024-06-19,1.124957423,1.052438985,1.181528981,1.187331388,1.18399983,1.249961676
2024-06-20,1.111545906,1.047116646,1.154685994,1.160086014,1.177892371,1.228943721
2024-06-21,1.094754807,1.049466601,1.162028338,1.1664011,1.158183013,1.207260392
2024-06-24,1.096081938,1.04297606,1.161674147,1.167304083,1.158130977,1.199468354
2024-06-25,1.103347411,1.045398814,1.164734277,1.166966986,1.16103406,1.192276456
2024-06-26,1.10173548,1.045004226,1.173307241,1.178842853,1.162128097,1.20343776
2024-06-27,1.084128377,1.041427559,1.166030769,1.171094434,1.138136386,1.170553988
2024-06-28,1.08406555,1.040988027,1.175681856,1.180214925,1.138273864,1.159330713
2024-07-02,1.083346455,1.040298858,1.172134768,1.179052063,1.141519997,1.154333893
2024-07-03,1.091860107,1.038552814,1.168469057,1.171232031,1.154974139,1.18297102
2024-07-04,1.093180744,1.030633517,1.160233645,1.160570536,1.158167595,1.190387971
2024-07-05,1.082799689,1.027932231,1.148696729,1.146602595,1.143477442,1.173143724
2024-07-08,1.070329006,1.026974902,1.142517668,1.133349844,1.125775638,1.163303381
2024-07-09,1.078880687,1.028672045,1.160676987,1.15248079,1.125722318,1.174480993
2024-07-10,1.07149473,1.026434113,1.154728492,1.143810437,1.122410015,1.174347266
2024-07-11,1.086835218,1.027598409,1.156429629,1.147399709,1.145579431,1.205658931
2024-07-12,1.097670279,1.03029036,1.160736117,1.154248402,1.175198073,1.233575238
2024-07-15,1.086973872,1.030098012,1.151427595,1.14776547,1.157374852,1.19786037
2024-07-16,1.070262744,1.034858091,1.15830345,1.153827788,1.138875809,1.181637013
2024-07-17,1.067183448,1.033912,1.152311746,1.14503715,1.139610091,1.187520997
