date,market,rank,code,name,score,selected,target_weight
2026-09-08,a,1,603256.SH,宏和科技,6.640339420536996,True,0.03333333333333333
2026-09-08,a,2,300285.SZ,国瓷材料,5.339541394598895,True,0.03333333333333333
2026-09-08,a,3,688629.SH,华丰科技,4.466742862243325,True,0.03333333333333333
2026-09-08,a,4,301611.SZ,珂玛科技,4.1058288956244855,True,0.03333333333333333
2026-09-08,a,5,600105.SH,永鼎股份,4.028678986455412,True,0.03333333333333333
2026-09-08,a,6,301526.SZ,国际复材,3.451764753486182,True,0.03333333333333333
2026-09-08,a,7,002384.SZ,东山精密,3.3986182043767035,True,0.03333333333333333
2026-09-08,a,8,600363.SH,联创光电,3.2856963038279074,True,0.03333333333333333
2026-09-08,a,9,600584.SH,长电科技,3.028174865525386,True,0.03333333333333333
2026-09-08,a,10,688017.SH,绿的谐波,2.9564063537291743,True,0.03333333333333333
2026-09-08,a,11,688361.SH,中科飞测,2.8238810000877614,True,0.03333333333333333
2026-09-08,a,12,300604.SZ,长川科技,2.7923950458548887,True,0.03333333333333333
2026-09-08,a,13,301377.SZ,鼎泰高科,2.767409117503858,True,0.03333333333333333
2026-09-08,a,14,300054.SZ,鼎龙股份,2.737284582458145,True,0.03333333333333333
2026-09-08,a,15,002407.SZ,多氟多,2.6593612587764035,True,0.03333333333333333
2026-09-08,a,16,000657.SZ,中钨高新,2.5921589843870514,True,0.03333333333333333
2026-09-08,a,17,688041.SH,海光信息,2.4895166196848564,True,0.03333333333333333
2026-09-08,a,18,688200.SH,华峰测控,2.4176613829118376,True,0.03333333333333333
2026-09-08,a,19,688347.SH,华虹宏力,2.3759872037742307,True,0.03333333333333333
2026-09-08,a,20,300567.SZ,精测电子,2.241185726039486,True,0.03333333333333333
2026-09-08,a,21,300548.SZ,长芯博创,2.143203963315989,True,0.03333333333333333
2026-09-08,a,22,300757.SZ,罗博特科,2.025732821991348,True,0.03333333333333333
2026-09-08,a,23,300136.SZ,信维通信,1.9898339046371953,True,0.03333333333333333
2026-09-08,a,24,300620.SZ,光库科技,1.982181295938548,True,0.03333333333333333
2026-09-08,a,25,688256.SH,寒武纪,1.9122041386194344,True,0.03333333333333333
2026-09-08,a,26,300346.SZ,南大光电,1.9090749286161055,True,0.03333333333333333
2026-09-08,a,27,002353.SZ,杰瑞股份,1.8840987889456828,True,0.03333333333333333
2026-09-08,a,28,002409.SZ,雅克科技,1.8461233253376395,True,0.03333333333333333
2026-09-08,a,29,002281.SZ,光迅科技,1.832090841344846,True,0.03333333333333333
2026-09-08,a,30,603986.SH,兆易创新,1.806096448740206,True,0.03333333333333333
2026-09-08,a,31,688248.SH,南网科技,1.7946558414876816,False,0.0
2026-09-08,a,32,688172.SH,燕东微,1.7434423547646503,False,0.0
2026-09-08,a,33,300735.SZ,光弘科技,1.699057772792102,False,0.0
2026-09-08,a,34,300100.SZ,双林股份,1.6951616571591877,False,0.0
2026-09-08,a,35,300308.SZ,中际旭创,1.6884460663550607,False,0.0
2026-09-08,a,36,688702.SH,盛科通信,1.659557937191805,False,0.0
2026-09-08,a,37,688120.SH,华海清科,1.6474057094743995,False,0.0
2026-09-08,a,38,002371.SZ,北方华创,1.62392842305901,False,0.0
2026-09-08,a,39,300390.SZ,天华新能,1.6211598968443088,False,0.0
2026-09-08,a,40,600008.SH,首创环保,1.5851006223075372,False,0.0
2026-09-08,a,41,300676.SZ,华大基因,1.5734291153346636,False,0.0
2026-09-08,a,42,301200.SZ,大族数控,1.5448655978045238,False,0.0
2026-09-08,a,43,688037.SH,芯源微,1.5017752495326258,False,0.0
2026-09-08,a,44,603308.SH,应流股份,1.4828590471561285,False,0.0
2026-09-08,a,45,688313.SH,仕佳光子,1.4361657629937663,False,0.0
2026-09-08,a,46,300570.SZ,太辰光,1.4347168101332632,False,0.0
2026-09-08,a,47,600498.SH,烽火通信,1.4055944567895011,False,0.0
2026-09-08,a,48,001203.SZ,大中矿业,1.3933836330699605,False,0.0
2026-09-08,a,49,688615.SH,合合信息,1.369750712501629,False,0.0
2026-09-08,a,50,600132.SH,重庆啤酒,1.3539064277184727,False,0.0
2026-09-08,a,51,601966.SH,玲珑轮胎,1.3511942366748644,False,0.0
2026-09-08,a,52,002461.SZ,珠江啤酒,1.3276638404464587,False,0.0
2026-09-08,a,53,688072.SH,拓荆科技,1.3183869245693716,False,0.0
2026-09-08,a,54,600380.SH,健康元,1.2873454860398688,False,0.0
2026-09-08,a,55,002185.SZ,华天科技,1.2838093274132745,False,0.0
2026-09-08,a,56,601106.SH,中国一重,1.2585951836641542,False,0.0
2026-09-08,a,57,688709.SH,成都华微,1.2584126017193322,False,0.0
2026-09-08,a,58,600023.SH,浙能电力,1.246983530836316,False,0.0
2026-09-08,a,59,001309.SZ,德明利,1.232056642191779,False,0.0
2026-09-08,a,60,000050.SZ,深天马A,1.2307825074567718,False,0.0
2026-09-08,a,61,002984.SZ,森麒麟,1.2143698070803775,False,0.0
2026-09-08,a,62,601001.SH,晋控煤业,1.1060609162274702,False,0.0
2026-09-08,a,63,603345.SH,安井食品,1.091701605974906,False,0.0
2026-09-08,a,64,601000.SH,唐山港,1.0815985295577084,False,0.0
2026-09-08,a,65,600131.SH,国网信通,1.0771828083796982,False,0.0
2026-09-08,a,66,002402.SZ,和而泰,1.058598370053462,False,0.0
2026-09-08,a,67,002312.SZ,川发龙蟒,1.0540494243871377,False,0.0
2026-09-08,a,68,301165.SZ,锐捷网络,1.0522129144256787,False,0.0
2026-09-08,a,69,600511.SH,国药股份,1.0482204496009626,False,0.0
2026-09-08,a,70,601868.SH,中国能建,1.0350301674398998,False,0.0
2026-09-08,a,71,600183.SH,生益科技,1.03223305956666,False,0.0
2026-09-08,a,72,600906.SH,财达证券,1.0112768746299734,False,0.0
2026-09-08,a,73,603858.SH,步长制药,1.0101667664318292,False,0.0
2026-09-08,a,74,603233.SH,大参林,1.0054428157488666,False,0.0
2026-09-08,a,75,000591.SZ,太阳能,1.0029820679492618,False,0.0
2026-09-08,a,76,688728.SH,格科微,0.996165437136755,False,0.0
2026-09-08,a,77,002266.SZ,浙富控股,0.9741728078617397,False,0.0
2026-09-08,a,78,600582.SH,天地科技,0.9654629257540598,False,0.0
2026-09-08,a,79,600460.SH,士兰微,0.9550859216940845,False,0.0
2026-09-08,a,80,002318.SZ,久立特材,0.9542355763081612,False,0.0
2026-09-08,a,81,600015.SH,华夏银行,0.9530883302745118,False,0.0
2026-09-08,a,82,688819.SH,天能股份,0.9530141494407909,False,0.0
2026-09-08,a,83,688498.SH,源杰科技,0.9487489793853288,False,0.0
2026-09-08,a,84,600848.SH,上海临港,0.9429244922272314,False,0.0
2026-09-08,a,85,000338.SZ,潍柴动力,0.9342412053095123,False,0.0
2026-09-08,a,86,002299.SZ,圣农发展,0.9324543228021938,False,0.0
2026-09-08,a,87,000060.SZ,中金岭南,0.9277588886867176,False,0.0
