date,market,rank,code,name,score,selected,target_weight
2026-09-08,hk2,1,01112.HK,H&H国际控股,3.3071702478236618,True,0.06666666666666667
2026-09-08,hk2,2,02877.HK,神威药业,2.5685440785273093,True,0.06666666666666667
2026-09-08,hk2,3,00992.HK,联想集团,2.2331890916460737,True,0.06666666666666667
2026-09-08,hk2,4,01883.HK,中信国际电讯,2.2087790027964096,True,0.06666666666666667
2026-09-08,hk2,5,00939.HK,建设银行,2.121856710697135,True,0.06666666666666667
2026-09-08,hk2,6,01070.HK,TCL电子,2.0711251141098295,True,0.06666666666666667
2026-09-08,hk2,7,03328.HK,交通银行,2.0592452834146373,True,0.06666666666666667
2026-09-08,hk2,8,00363.HK,上海实业控股,2.058498361089723,True,0.06666666666666667
2026-09-08,hk2,9,01773.HK,天立国际控股,2.0220145925978112,True,0.06666666666666667
2026-09-08,hk2,10,02016.HK,浙商银行,2.0041070301000286,True,0.06666666666666667
2026-09-08,hk2,11,02607.HK,上海医药,1.9050299808958655,True,0.06666666666666667
2026-09-08,hk2,12,03968.HK,招商银行,1.886021885564846,True,0.06666666666666667
2026-09-08,hk2,13,06110.HK,滔搏,1.8727476862253984,True,0.06666666666666667
2026-09-08,hk2,14,00883.HK,中国海洋石油,1.8577697286002408,True,0.06666666666666667
2026-09-08,hk2,15,00267.HK,中信股份,1.7478273505507105,True,0.06666666666666667
2026-09-08,hk2,16,02869.HK,绿城服务,1.7200459596302358,False,0.0
2026-09-08,hk2,17,00522.HK,ASMPT,1.661540365494,False,0.0
2026-09-08,hk2,18,01789.HK,爱康医疗,1.621627364549856,False,0.0
2026-09-08,hk2,19,00998.HK,中信银行,1.6194757268528615,False,0.0
2026-09-08,hk2,20,00552.HK,中国通信服务,1.5808506907662578,False,0.0
2026-09-08,hk2,21,01109.HK,华润置地,1.5618063963829734,False,0.0
2026-09-08,hk2,22,00001.HK,长和,1.542372671777352,False,0.0
2026-09-08,hk2,23,00966.HK,中国太平,1.4913609495485356,False,0.0
2026-09-08,hk2,24,03988.HK,中国银行,1.4831004723197139,False,0.0
2026-09-08,hk2,25,00902.HK,华能国际电力股份,1.480756472370979,False,0.0
2026-09-08,hk2,26,01963.HK,重庆银行,1.468222699422196,False,0.0
2026-09-08,hk2,27,00826.HK,天工国际,1.451226118522443,False,0.0
2026-09-08,hk2,28,00177.HK,江苏宁沪高速公路,1.4464748964056957,False,0.0
2026-09-08,hk2,29,02328.HK,中国财险,1.4360171264301527,False,0.0
2026-09-08,hk2,30,00836.HK,华润电力,1.4316982429253327,False,0.0
2026-09-08,hk2,31,00941.HK,中国移动,1.4251213407965264,False,0.0
2026-09-08,hk2,32,01658.HK,邮储银行,1.4224945860113791,False,0.0
2026-09-08,hk2,33,03969.HK,中国通号,1.418154386058229,False,0.0
2026-09-08,hk2,34,02359.HK,药明康德,1.4170440601644885,False,0.0
2026-09-08,hk2,35,01398.HK,工商银行,1.4139534247118473,False,0.0
